0xe7e
0x1163
0x1189
0x1196
0x1ec5
0x1fb5
0x1fc2
0x2319
0x26f0
0x26fe
0x28a3
0x2a2d
0x2e9c
0x2ea8
0x2f9c
0x347a
0x349e
0x34ba
0x357a
0x3630
