0xef	0x248a9ca3
0x131	0x2f2ff15d
0x17f	0x36568abe
0x1cd	0x609c92b8
0x1eb	0x8274664f
0x2e6	0x9010d07c
0x35e	0x91d14854
0x3c4	0xa217fddf
0x3e2	0xb017a30f
0x400	0xc4d66de8
0x444	0xca15c873
0x486	0xd547741f
0x4d4	0xe375b64e
0x5ad	0xec87621c
0x1f33	0x00000000
