0x1cc
0x1f2
0x259
0x276
0x289
0x29c
0x2a1
0x2b1
0x2b6
0x2d4
0x2e1
0x304
0x324
0x355
0x368
0x37b
0x3bb
0x3ce
0x3e1
0x3f4
0x42a
0x43d
0x450
0x455
0x497
0x4a1
0x57f
0x622
0x65f
0x6d1
0x6df
0xa35
0xad8
0xb19
0xb8b
0xb90
0xc59
0xc63
0xd1a
0xd33
0xd3e
0xd64
0xe44
0xe87
0xe95
0xf54
0x100c
0x1116
0x1120
0x112c
0x1239
0x15b5
0x16be
0x1821
0x18c4
0x1901
0x1973
0x1981
0x1998
0x1b46
0x1d6f
0x206a
0x2081
0x208b
0x212f
0x2245
0x225a
0x2264
0x228c
0x2339
0x2343
0x2386
0x2392
0x2509
0x274e
0x27b2
0x27c2
0x27eb
0x2842
0x2847
0x287f
0x28e8
0x2976
0x29c9
0x2b0a
0x2b1c
0x2ce6
