0x1b9	0x00000000
0x1be	0x1d5f490
0x1e4	0xc490607
0x1f7	0x150f908f
0x23c	0x2f3422ce
0x24b	0x2f7d7093
0x25e	0x474e19f2
0x268	0x4c7ba392
0x27b	0x4e4f30a2
0x28e	0x59c63365
0x2a3	0x60db72ef
0x2c6	0x657102e9
0x2d9	0x6a5249e3
0x2ee	0x715018a6
0x2f6	0x83bf1631
0x316	0x8c91ac2b
0x329	0x8da5cb5b
0x347	0x93411558
0x35a	0x95e5a9e0
0x36d	0x9c8f28fb
0x38d	0xb0741f3a
0x3ad	0xb4bd171c
0x3c0	0xbca31ee1
0x3d3	0xc4d66de8
0x3e6	0xe5711ffc
0x41c	0xeb2161ea
0x42f	0xf2fde38b
0x442	0xffcf655e
