0x1e56
0x1f09
0x1f54
0x1f8d
0x1fa2
0x1ae00x1dc
0x1adc0x1dc
0x1ad60x1dc
0x1acf0x1dc
0x1a850x1dc
0x1a7e0x1dc
0x1a1f0x1dc
0x19ae0x1dc
0x19500x1dc
0x19490x1dc
0x18ff0x1dc
0x18f80x1dc
0x188e0x1dc
0x18840x1dc
0x183a0x1dc
0x18330x1dc
0xecb0x1dc
0xe8f0x1dc
0xe500x1dc
0xd600x1dc
0xce50x1dc
0xc390x1dc
0xc1d0x1dc
0xbfe0x1dc
0xbce0x1dc
0xb5a0x1dc
0xa900x1dc
0x202fS0x199a0x1dc
0x2018S0x199a0x1dc
0x1cc3S0xc450x1dc
0x1cd7S0xc450x1dc
0x1cf1S0xc450x1dc
0x1d05S0xc450x1dc
0x1d37S0xc450x1dc
0x1db2S0x1052
0x2255S0x1dafS0x1052
