0x0	__function_selector__
0x110	supportsInterface(bytes4)
0x14b	getRoleAdmin(bytes32)
0x17a	grantRole(bytes32,address)
0x1a8	renounceRole(bytes32,address)
0x1d4	TOKEN_TYPE()
0x1dc	exitTokens(address,address,bytes)
0x299	getRoleMember(bytes32,uint256)
0x2d8	hasRole(bytes32,address)
0x304	DEFAULT_ADMIN_ROLE()
0x30c	onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)
0x450	CHAIN_EXIT_EVENT_SIG()
0x458	initialize(address)
0x47e	getRoleMemberCount(bytes32)
0x49b	revokeRole(bytes32,address)
0x4c7	lockTokens(address,address,address,bytes)
0x556	MANAGER_ROLE()
0x55e	onERC1155Received(address,address,uint256,uint256,bytes)
0x687	0x687
0xfb7	0xfb7
0x160c	0x160c
0x1611	0x1611
0x1680	0x1680
0x176a	0x176a
0x1b06	0x1b06
0x1c12	0x1c12
0x1d5b	0x1d5b
0x1d67	0x1d67
0x1d7c	0x1d7c
0x1e1a	0x1e1a
0x1e25	0x1e25
0x1e3a	0x1e3a
0x1e4f	0x1e4f
0x1e7b	0x1e7b
0x1f07	0x1f07
0x1fa0	0x1fa0
0x2003	0x2003
0x20b2	0x20b2
0x20ce	0x20ce
0x2118	0x2118
0x21de	0x21de
0x21f8	0x21f8
0x2276	0x2276
0x2556	()
0x2556	fallback()
