0x0	__function_selector__
0x1d4	approve(address,uint256)
0x202	getRealBalance(address)
0x23a	interestDetails(address)
0x279	unpause()
0x281	deposit(address,uint256)
0x2ad	initialize(address,address)
0x2db	disableTokens(address[])
0x349	paused()
0x365	dTokenController()
0x389	acceptOwnership()
0x391	setAuthority(address)
0x3b7	pause()
0x3bf	enableTokens(address[])
0x42d	owner()
0x435	disableOwnership()
0x43d	0xa1cf4312
0x4fb	getLiquidity(address)
0x521	setDTokenController(address)
0x547	tokenIsEnabled(address)
0x56d	authority()
0x575	initialize(address)
0x59b	claimReward(address)
0x5c1	getRealLiquidity(address)
0x5e7	newOwner()
0x5ef	transferOwnership(address)
0x615	withdraw(address,uint256)
0x641	iTokens(address)
0x667	rewardToken()
0x66f	getBalance(address)
0x144c	0x144c
0x2219	0x2219
0x2302	0x2302
0x23b8	0x23b8
0x24e8	0x24e8
0x2538	0x2538
0x2644	0x2644
0x2769	0x2769
0x27d1	0x27d1
0x2a0a	()
0x2a0a	fallback()
