0x1d4	0x95ea7b3
0x202	0xc80d691
0x23a	0x1d3cf49f
0x279	0x3f4ba83a
0x281	0x47e7ef24
0x2ad	0x485cc955
0x2db	0x53b9ed17
0x349	0x5c975abb
0x365	0x6bb5f787
0x389	0x79ba5097
0x391	0x7a9e5e4b
0x3b7	0x8456cb59
0x3bf	0x8c2de1a5
0x42d	0x8da5cb5b
0x435	0x93c0b096
0x43d	0xa1cf4312
0x4fb	0xa747b93b
0x521	0xa90fcd8b
0x547	0xa9dd5ba5
0x56d	0xbf7e214f
0x575	0xc4d66de8
0x59b	0xd279c191
0x5c1	0xd34c02b4
0x5e7	0xd4ee1d90
0x5ef	0xf2fde38b
0x615	0xf3fef3a3
0x641	0xf56532a6
0x667	0xf7c618c1
0x66f	0xf8b2cb4f
0x2a0a	0x00000000
