0xa3	0x5a7cdd6
0xc2	0x4316d72d
0xeb	0x5550a621
0x143	0x73252494
0x167	0x7ce87b43
0x181	0x8129fc1c
0x189	0x8d9e6088
0x1f9	0x945decf4
0x2c4	0xcfc16254
0x2ea	0xfc0c546a
0xda8	0x00000000
