0x15d	0x242241d
0x167	0xc340a24
0x18b	0xed57b3a
0x1b9	0xfc3b4c4
0x1df	0x1072cbea
0x20b	0x125f9e33
0x213	0x430bf08a
0x21b	0x47e7ef24
0x247	0x5653b414
0x261	0x5d36b190
0x269	0x5f515226
0x28f	0x790fcf9f
0x36e	0x853828b6
0x376	0x9136616a
0x393	0x9a6acf20
0x3b9	0xaa388af6
0x3f3	0xad1728cb
0x3fb	0xc7af3352
0x403	0xcd3b0212
0x420	0xd38bfff4
0x446	0xd9caed12
0x47c	0xdbe55e56
0x484	0xde5f6268
0x48c	0xee01555d
0x3167	0x00000000
