0xa97	0xaaf
0xb99	0xc3d
0xccc	0xdc9
0x1432	0x144a
0x1910	0x1a3d
0x1e5d	0x1f3c
0x1f45	0x2026
0x2258	0x2267
0x226f	0x238c
0x23d0	0x2415
0x2456	0x2484
0x248f	0x2524
0x2537	0x25f3
0x2645	0x2663
0x2693	0x26a5
0x26ac	0x26be
0x26c5	0x26fe
0x27b5	0x27b5
0x27ec	0x27ec
0x2823	0x2823
0x2871	0x2871
0x2899	0x28ac
0x28b1	0x28c3
0x28c8	0x28f2
0x28f8	0x290c
0xab4	0x3349
0xae6	0x3394
0xc3f	0x3407
0x1d99	0x373e
0x202b	0x3760
0x2221	0x37cc
0x2397	0x37f0
0x241c	0x383e
0x2439	0x3864
0x2671	0x388a
0x296b	0x38b0
0xdd3	0x10f40xdd3
0x17be	0x10f40x17be
0x1ab1	0x1b130x1ab1
0x1c7e	0x1d910x1c7e
0x1a49	0x36f70x1a49
0x1b19	0x371b0x1b19
0x1a75	0x37840x1a75
0x1a75	0x37a80x1a75
