0x1fed
0x201d
0x2039
0x2055
0x2079
0x20c2
0x20e6
0x20ea
0x2187
0x21b7
0x21d3
0x21ef
0x2213
0x2258
0x227c
0x2280
0x3c74S0x34da
0x3c78S0x34da
0x3d25S0x34da
0x3d41S0x34da
0x3c50S0x34da
0x3d31S0x34da
0x3c74S0x33c2
0x3c78S0x33c2
0x3d25S0x33c2
0x3d41S0x33c2
0x3c50S0x33c2
0x3d31S0x33c2
0x3f61S0xcf90x6fb
0x3f61S0xd0c0x6fb
0x3c74S0x3e6eS0x3709
0x3c78S0x3e6eS0x3709
0x3d25S0x3e6eS0x3709
0x3d41S0x3e6eS0x3709
0x3c50S0x3e6eS0x3709
0x3d31S0x3e6eS0x3709
