0x50	0x58
0x54	0x42a
0xb9	0xc0
0xca	0xd2
0xd4	0x44b
0xd7	0x19b
0xfb	0x103
0x105	0x486
0x108	0x1aa
0x110	0x118
0x11a	0x121
0x139	0x141
0x143	0x4c1
0x150	0x158
0x164	0x1dd
0x16c	0x174
0x176	0x4e2
0x183	0x18b
0x197	0x292
0x1de	0x1e5
0x1e6	0x225
0x226	0x22e
0x22f	0x270
0x293	0x29a
0x29b	0x2da
0x2db	0x2e3
0x2df	0x326
0x331	0x36b
0x4e4	0x4f0
0x4e6	0x4f3
0x4e8	0x4f6
0x4ea	0x4f9
0x4ec	0x4fc
0x4ee	0x4ff
0x1c7V0x118	0x1ceB0x118
0x1caV0x118	0x2e6B0x118
0x1c7V0x1dd	0x1ceB0x1dd
0x1caV0x1dd	0x2e6B0x1dd
0x1c7V0x292	0x1ceB0x292
0x1caV0x292	0x2e6B0x292
0x316V0x225	0x31eB0x225
