0x1df	0x128fced1
0x217	0x16720d4c
0x2bd	0x1d504dc6
0x2e3	0x26782247
0x307	0x33a100ca
0x32d	0x38d52e0f
0x335	0x396f7b23
0x33d	0x42cbb15c
0x345	0x4cf088d9
0x34d	0x52f98dd4
0x355	0x5c60da1b
0x35d	0x65a30363
0x3cb	0x6bbcac92
0x3f1	0x6c540baf
0x3f9	0x88a8d602
0x401	0x8ff39099
0x427	0xa8c62e76
0x42f	0xa9059cbb
0x45b	0xaad3ec96
0x487	0xaece48ed
0x4f5	0xc53468f0
0x51b	0xce3e39c0
0x523	0xcf88304b
0x540	0xd1058e59
0x548	0xd4a22bde
0x56e	0xdd521083
0x576	0xdf35a0a2
0x638	0xf3b04558
0x640	0xf851a440
0x648	0xf8ba4cff
0x2b51	0x00000000
