0xda3
0xe29
0x1e92
0x1f18
0x2139
0x25e4
0x2608
0x2a8c
0x2a93
0x2a9a
0x2a79S0x16ba
0x2a79S0x16d0
0x2a79S0x24c2
0x2a79S0x2500
0x2a79S0x2562
0x2a79S0x25bc
0x2a79S0x26db
0x2a79S0x293e
0x2a79S0x2790
0x2a79S0x27a6
