0x6b3	admin()
0x760	_acceptImplementation()
0x9ca	transferFrom(address,address,uint256)
0xb44	totalDeposits()
0xbdb	getTotalMintedAmount()
0xc63	calculate(uint256,uint256)
0xced	allocate(address,uint256)
0x1060	superior()
0x112e	property()
0x1204	asset()
0x158a	totalDeposits()
0x160b	getTotalMintedAmount()
0x1693	calculate(uint256,uint256)
0x18c1	transferFrom(address,address,uint256)
0x1c3c	totalDeposits()
0x1cca	getTotalMintedAmount()
0x1d52	calculate(uint256,uint256)
0x1ddc	allocate(address,uint256)
0x23bb	balanceOf(address)
0x2492	transfer(address,uint256)
0x26b4	getMintedAmount(string)
0x2769	getTotalMintedAmount()
