0x1b2	0x8cc262
0x1f7	0x22ba18d
0x1ff	0x46335d0
0x246	0x158ef93e
0x24e	0x18160ddd
0x256	0x19262d30
0x289	0x1e85cd65
0x291	0x2e1a7d4d
0x2b0	0x2ffaaa09
0x2d3	0x3f9e3f04
0x2db	0x446a2ec8
0x2e3	0x51adeb57
0x314	0x54575af4
0x357	0x570ca735
0x35f	0x61d027b3
0x367	0x70a08231
0x39a	0x714b4658
0x3cd	0x97ffe1d7
0x3ea	0xa694fc3a
0x407	0xa8d5fd65
0x40f	0xb3ab15fb
0x442	0xb88a802f
0x44a	0xc0c53b8b
0x48f	0xe9fad8ee
0x497	0xf0ec9430
0x4e8	0xfd147b7f
0x2669	0x00000000
