0xd37	0x18a
0xd3a	0x194
0xd3d	0x1cd
0xd40	0x1e5
0xd43	0x206
0xd46	0x22d
0xd49	0x25e
0xd4c	0x28a
0xd4f	0x2ab
0xd52	0x2e7
0xd55	0x2fc
0xd58	0x311
0xd5b	0x326
0xd5e	0x347
0xd61	0x37c
0xd64	0x39d
0xd67	0x3d9
0xd6a	0x3ee
0xd6d	0x403
0xd70	0x424
0xd73	0x44e
0xd76	0x469
0xd79	0x481
0xd7c	0x496
0xd7f	0x4dd
0xd82	0x4fe
0xd85	0x513
0xd88	0x528
0xd8b	0x53d
