0x0	__function_selector__
0x105	setDiggPegRewards(address,uint256,uint256)
0x11a	getRoleAdmin(bytes32)
0x143	grantRole(bytes32,address)
0x156	renounceRole(bytes32,address)
0x169	modifyUnlockSchedule(uint256,address,address,uint256,uint256,uint256,uint256)
0x17c	initialize(address,address)
0x18f	unlockSchedules(address,uint256)
0x1b4	setUnlockSchedule(address,address,uint256,uint256,uint256,uint256)
0x1c7	getUnlockSchedulesFor(address,address)
0x1e7	getRoleMember(bytes32,uint256)
0x207	hasRole(bytes32,address)
0x227	DEFAULT_ADMIN_ROLE()
0x22f	getAllUnlockSchedulesFor(address)
0x242	getRoleMemberCount(bytes32)
0x255	revokeRole(bytes32,address)
0x268	MANAGER_ROLE()
0x30c	0x30c
0x346	0x346
0x354	0x354
0x4e9	0x4e9
0x723	0x723
0x902	0x902
0x921	0x921
0x93e	0x93e
0x9f7	0x9f7
0xa0e	0xa0e
0xa5a	0xa5a
0xa5e	0xa5e
0xac7	0xac7
0xb30	0xb30
0xb36	0xb36
0xbc9	0xbc9
0xbd5	0xbd5
0xbea	0xbea
0xbf5	0xbf5
0xc0a	0xc0a
0xc1f	0xc1f
0xce5	0xce5
0xd01	0xd01
0xd4b	0xd4b
0xe11	0xe11
0xe59	0xe59
0xe70	0xe70
0xe8b	0xe8b
0xf72	0xf72
0xf8a	0xf8a
0x10b6	0x10b6
0x11df	0x11df
0x1254	0x1254
0x1330	0x1330
0x13ba	()
0x13ba	fallback()
