0x4e9	0x594
0x723	0x8fc
0x93e	0x9ec
0xa5a	0xa5a
0xa5e	0xa83
0xac7	0xaec
0xb30	0xb30
0xc1f	0xc93
0xce5	0xce5
0xe11	0xe11
0xe8b	0xeb6
0xf72	0xf83
0xf8a	0xfae
0x10b6	0x112d
0x11df	0x11df
0x1254	0x1254
0x902	0x174f
0x921	0x1775
0x9f7	0x179b
0xa5e	0x180c
0xac7	0x182f
0xbc9	0x189c
0xbd5	0x18c2
0xbea	0x18e8
0xbf5	0x190d
0xc0a	0x1933
0xc1f	0x1981
0xd01	0x19cb
0xd01	0x19f0
0xd4b	0x1a15
0xd4b	0x1a3a
0xe59	0x1a5f
0xe70	0x1a84
0x1330	0x1aaa
0xb36	0xbc60xb36
0xc1f	0xbc60xc1f
0x30c	0x16910x30c
0x346	0x16910x346
0x354	0x16dc0x354
0xa0e	0x16dc0xa0e
0xb36	0x187a0xb36
0xc1f	0x187a0xc1f
