0xa8	0x204e1c7a
0x139	0x715018a6
0x150	0x7eff275e
0x1c1	0x8da5cb5b
0x218	0x8f32d59b
0x247	0x9623609d
0x342	0x99a88ec4
0x3b3	0xf2fde38b
0x404	0xf3b7dead
0xba8	0x00000000
