0x151	0x8db880
0x181	0x58a628f
0x19d	0x13af4035
0x1b9	0x1459457a
0x1d5	0x1debf325
0x1f1	0x24600077
0x20d	0x27867405
0x229	0x2bd34873
0x259	0x42de842b
0x289	0x488c0b8b
0x2a5	0x577aca59
0x2d5	0x57b0a6bf
0x305	0x68b5e647
0x335	0x818b9756
0x353	0x893d20e8
0x371	0x9b44e71c
0x37b	0x9e097695
0x3ab	0xaa556e0b
0x3c7	0xb905e9ce
0x3f7	0xcc09125f
0x413	0xcd025b76
0x42f	0xdde7c190
0x44b	0xe5aa7d35
0x4f25	0x00000000
