0xb0b	0xb15
0xd43	0x10fe
0x13b8	0x144c
0x1881	0x19e0
0x19e5	0x19ef
0x2035	0x2035
0x2591	0x26dc
0x2714	0x2821
0x283b	0x29c5
0x29ce	0x2b19
0x2b20	0x2d3b
0x2d6f	0x2df2
0x2df7	0x303c
0x3071	0x30b3
0x2066	0x23ab0x2066
0x23af	0x24b70x23af
