0x13c	0x242241d
0x146	0xc340a24
0x190	0xed57b3a
0x1f4	0xfc3b4c4
0x278	0x1072cbea
0x2c6	0x125f9e33
0x310	0x28a07025
0x31a	0x430bf08a
0x364	0x47e7ef24
0x3c6	0x5653b414
0x3e4	0x5d36b190
0x3ee	0x5f515226
0x446	0x790fcf9f
0x574	0x9a6acf20
0x5b8	0xaa388af6
0x614	0xad1728cb
0x61e	0xc7af3352
0x640	0xcd3b0212
0x66e	0xd38bfff4
0x6b2	0xd9caed12
0x734	0xdbe55e56
0x31e8	0x00000000
