0xafd
0xb06
0xb16
0xb2b
0xb35
0xb3f
0xb55
0xb61
0xb6f
0xb7a
0xb8a
0xb95
0xba1
0xc47
0xc53
0xc7e
0xc88
0xca6
0xcb2
0xce6
0xcf0
0xf8e
0x1874S0xac7
0x187bS0xac7
0x1884S0xac7
0x1894S0xac7
0x189bS0xac7
0x18a2S0xac7
0x18a9S0xac7
0x18b0S0xac7
0x18b7S0xac7
0x18c0S0xac7
0x18c7S0xac7
0x18d0S0xac7
0x18d7S0xac7
0x18deS0xac7
0x1874S0xc1f
0x187bS0xc1f
0x1884S0xc1f
0x1894S0xc1f
0x189bS0xc1f
0x18a2S0xc1f
0x18a9S0xc1f
0x18b0S0xc1f
0x18b7S0xc1f
0x18c0S0xc1f
0x18c7S0xc1f
0x18d0S0xc1f
0x18d7S0xc1f
0x18deS0xc1f
