0xad0	poolLength()
0xb70	poolInfo(uint256)
0xe29	transfer(address,uint256)
0x113f	sushi()
0x11bf	balanceOf(address)
0x13a0	sushi()
0x141b	balanceOf(address)
0x1771	pendingSushi(uint256,address)
0x1a41	userInfo(uint256,address)
0x1b94	transfer(address,uint256)
0x2369	balanceOf(address)
0x5b0S0x22a	admin()
0x653S0x22a	_acceptImplementation()
0x3510S0x599a	transfer(address,uint256)
0x1038S0x2cd	emergencyWithdraw(uint256)
0x1dc5S0x3c5	sushi()
0x1e40S0x3c5	balanceOf(address)
0x1ed3S0x3c5	approve(address,uint256)
0x1f6cS0x3c5	deposit(uint256,uint256)
0x1febS0x3c5	approve(address,uint256)
0x2074S0x3c5	userInfo(uint256,address)
0x2106S0x3c5	withdraw(uint256,uint256)
0x21ff0x1ccaS0x3c5	balanceOf(address)
0x21840x1ccaS0x3c5	sushi()
0x269fS0xd8a	sushi()
0x271aS0xd8a	balanceOf(address)
0x27aeS0xd8a	withdraw(uint256,uint256)
0x28efS0xd8a	sushi()
0x21ff0x25adS0xd8a	balanceOf(address)
0x21840x25adS0xd8a	sushi()
0x2ba9S0x19cb	getMultiplier(uint256,uint256)
0x2c1eS0x19cb	sushiPerBlock()
0x2c9eS0x19cb	poolInfo(uint256)
0x2d16S0x19cb	totalAllocPoint()
0x2d96S0x19cb	balanceOf(address)
0x2ef7S0x1c1f	sushi()
0x2f72S0x1c1f	balanceOf(address)
0x3019S0x1c1f	deposit(uint256,uint256)
0x3078S0x1c1f	sushi()
0x30f3S0x1c1f	balanceOf(address)
0x3211S0x1c1f	sushi()
0x32faS0x2449	balanceOf(address)
0x338fS0x2449	transfer(address,uint256)
0x3420S0x2449	transfer(address,uint256)
0x3510S0x5afdS0x1bd4	transferFrom(address,address,uint256)
