0x0	0xc
0x1a	0x2b
0xc4f	0xc5c
0x1603	0x1609
0x23b0	0x23bd
0x10	0x1a
0xf9	0x105
0x97	0xa3
0x71	0x7d
0xd3	0xdf
0x166	0x171
0x140	0x14c
0x3f8	0x413
0x4b8	0x4c4
0x6b7	0x6cd
0x74a	0x75d
0x9d4	0x9e7
0xc3f	0xc44
0xd11	0xd1b
0x108b	0x109e
0x1295	0x12a8
0x14be	0x14d1
0x1565	0x1578
0x1659	0x1666
0x1833	0x1842
0x1965	0x1972
0x1a9f	0x1aa9
0x22c4	0x22d7
0x433	0x441
0x6e4	0x6f2
0x774	0x77c
0x793	0x79b
0x7b2	0x7c1
0x7d8	0x7e2
0x7e7	0x7e9
0x9fe	0xa08
0xa1f	0xa2e
0xa45	0xa53
0xa54	0xa7b
0xa92	0xac9
0xacd	0xad8
0xb05	0xb0f
0xb55	0xb69
0xb6d	0xb78
0xba5	0xbc0
0xd08	0xd0c
0xc5d	0xc85
0xc9a	0xca0
0xcfc	0xd00
0x24c3	0x24cb
0xc44	0xc4f
0xd32	0xd40
0xd41	0xd73
0xdcb	0xdd4
0xe60	0xe67
0xe0c	0xe22
0xe26	0xe31
0xe5e	0xe60
0x2588	0x2596
0x10b5	0x10c4
0x10db	0x10ea
0x1101	0x1138
0x113c	0x1147
0x11a4	0x11b8
0x11bc	0x11c7
0x1201	0x120c
0x12bf	0x12c9
0x12e0	0x12ee
0x12ef	0x1315
0x1346	0x1399
0x139d	0x13a8
0x1400	0x1414
0x1418	0x1423
0x1464	0x146f
0x14e8	0x14f2
0x1509	0x1517
0x1518	0x1540
0x158f	0x1599
0x15b0	0x15b8
0x15d8	0x15e6
0x15e7	0x1603
0x167d	0x168b
0x168c	0x16b2
0x16bb	0x16c8
0x16d1	0x16fa
0x1704	0x171e
0x1756	0x176a
0x176e	0x1779
0x17cc	0x17d0
0x17fa	0x1801
0x1859	0x1867
0x1868	0x18b1
0x18b9	0x18bf
0x2aca	0x2ad9
0x1916	0x191b
0x1989	0x1997
0x1998	0x19c2
0x1a27	0x1a3a
0x1a3e	0x1a49
0x1ac0	0x1ace
0x1ae8	0x1b09
0x1bcd	0x1bd4
0x1b36	0x1b3f
0x1bcb	0x1bcd
0x1b77	0x1b8d
0x1b91	0x1b9c
0x1bc9	0x1bcb
0x1c19	0x1c1f
0x22ee	0x22fd
0x234e	0x2362
0x2366	0x2371
0x239e	0x23a7
0x23be	0x23da
0x23a7	0x23b0
0x24d2	0x24de
0x24df	0x24e6
0x2ada	0x2af6
