0xc3f	0xd0c
0xf61	0x1049
0x1659	0x1801
0x1833	0x193f
0x2492	0x24b4
0x29bf	0x2a60
0x359d	0x35d1
0x40b7	0x40ec
0x4195	0x420d
0x4229	0x42af
0x44fa	0x44fa
0x44fe	0x44fe
0x4512	0x4512
0x4547	0x456b
0x574	0x4a26
0xf61	0x4df9
0x1659	0x5125
0x1659	0x514a
0x1659	0x516f
0x1965	0x5311
0x1965	0x5335
0x1cca	0x54ab
0x1cca	0x5550
0x24c3	0x564b
0x24c3	0x5670
0x2588	0x570a
0x25ad	0x5780
0x29bf	0x5907
0x29bf	0x5929
0x2a71	0x5976
0x2aca	0x59f0
0x2aca	0x5a14
0x2aca	0x5a38
0x2aca	0x5a5c
0x2dfb	0x5ad8
0x2e25	0x5b7b
0x32a5	0x5cda
0x32a5	0x5cfe
0x34b8	0x5dc3
0x34b8	0x5de8
0x359d	0x5e35
0x361c	0x5e5c
0x3627	0x5e81
0x3632	0x5ea6
0x363d	0x5ecb
0x3648	0x5ef0
0x3653	0x5f15
0x365e	0x5f3a
0x3669	0x5f5f
0x3687	0x5f86
0x36df	0x5fd6
0x3740	0x6001
0x375e	0x6028
0x37b3	0x6053
0x37d1	0x607a
0x37ef	0x60a1
0x3879	0x60c8
0x38a9	0x60f1
0x38d9	0x611a
0x394a	0x6168
0x3953	0x618d
0x61b2	0x61b2
0x398b	0x61d6
0x4009	0x6220
0x4079	0x6245
0x626a	0x626a
0x4082	0x628c
0x408e	0x62b2
0x411d	0x6324
0x416c	0x634e
0x421b	0x6374
0x42be	0x6399
0x42cf	0x63bf
0x42df	0x63e4
0x42ef	0x6409
0x42ff	0x642e
0x430f	0x6453
0x431f	0x6478
0x432f	0x649d
0x433f	0x64c2
0x434f	0x64e7
0x435f	0x650c
0x436f	0x6531
0x437f	0x6556
0x438f	0x657b
0x439f	0x65a0
0x43af	0x65c5
0x43bf	0x65ea
0x43cf	0x660f
0x43df	0x6634
0x43ef	0x6659
0x43ff	0x667e
0x440f	0x66a3
0x441f	0x66c8
0x442f	0x66ed
0x443f	0x6712
0x444f	0x6737
0x445f	0x675c
0x446f	0x6781
0x447f	0x67a6
0x448d	0x67cb
0x44b6	0x67f1
0x4507	0x6817
0x4517	0x683c
0x4531	0x6861
0x453c	0x6886
0x68ab	0x68ab
0x4547	0x68cd
0x6914	0x6914
0x25ad	0x29bb0x25ad
0x2e25	0x29bb0x2e25
0x2b5a	0x2dee0x2b5a
0x382c	0x386f0x382c
0x3909	0x386f0x3909
0x24c3	0x56be0x24c3
0x2504	0x56be0x2504
0x2546	0x56e40x2546
0x36a5	0x5fad0x36a5
0x380d	0x5fad0x380d
0x409c	0x62d70x409c
0x4187	0x62d70x4187
0x44d1	0x62d70x44d1
0x40f5	0x62fd0x40f5
0x44a8	0x62fd0x44a8
0x44df	0x62fd0x44df
0x457d	0x68f20x457d
0x4591	0x68f20x4591
0x459a	0x68f20x459a
0x45a3	0x68f20x45a3
