0x1ad	0x5ee99b
0x1de	0x81e3eda
0x1f3	0x1526fe27
0x21c	0x1d504dc6
0x231	0x26782247
0x246	0x293146e8
0x26b	0x2df2fb73
0x27e	0x3c6f6af8
0x291	0x3caca2a1
0x2a4	0x441a3e70
0x2b7	0x4a036c50
0x2bf	0x5312ea8e
0x2d2	0x63acd96c
0x2e5	0x6c6a0a0e
0x2ed	0x6f6a4a00
0x300	0x7332245c
0x313	0x7e23418b
0x326	0x840aed1c
0x339	0x93f1a40b
0x35b	0xc799d6c7
0x37c	0xd0a63307
0x391	0xdc44e347
0x3a4	0xe2bbb158
0x3b7	0xeabbe5c3
0x3ca	0xf851a440
0x3d2	0xf8e11ba7
0x3e5	0xf96ce4a5
0x460e	0x00000000
