incident, url, related
Audius,https://blog.audius.co/article/audius-governance-takeover-post-mortem-7-23-22,true
Perpy Finance,https://perpy-finance.beehiiv.com/p/update-recent-exploit,true
NGFS,https://neptunemutual.com/blog/how-was-ngfs-token-exploited/,true
OKX Dex,https://web3isgoinggreat.com/?id=okx-dex-hack,true
RocketSwap,https://twitter.com/RocketSwap_Labs/status/1691229656593371136,false
Aave fork,https://www.panewslab.com/zh/sqarticledetails/kaucoe3r.html,false
Astria,https://twitter.com/AstariaXYZ/status/1671215491069927429,true
Compound,https://rekt.news/compound-errors/,true
Dexible,https://rekt.news/dexible-rekt/,true
Safemoon,https://rekt.news/safemoon-rekt/,true
Deus Dao,https://rekt.news/deus-dao-r3kt/,true
Level Finance,https://rekt.news/level-finance-rekt/,true
Unizen,https://rekt.news/unizen-rekt/,true
Opensea,https://twitter.com/PocketUniverseZ/status/1585793457385140225,false
