0xd4	0xc340a24
0xf8	0x15fe96dc
0x11d	0x485cc955
0x14b	0x52665f47
0x189	0x6dd5b69d
0x1a6	0x81c0c263
0x1ae	0x8ec872e3
0x1d1	0xb21544f3
0x203	0xb6aa515b
0x229	0xc4d66de8
0x24f	0xcddf2c6e
0x27b	0xd1af0c7d
0x283	0xddf2be3f
0x774	0x00000000
