0xa4	0x1f3	0x742
0xef	0x2c9	0x78f
0xf80x0	0x2fe	0x1000x0
0xf80x1f3	0x2fe	0x1000x1f3
0xf80x2c9	0x2fe	0x1000x2c9
0xf80x953	0x2fe	0x1000x953
0x134B0x80	0x3ad	0x13c0x112B0x80
0xf80x112B0x80	0x2fe	0x1000x112B0x80
0x16eB0x93	0x3ad	0x176B0x93
0xf80x14cB0x93	0x2fe	0x1000x14cB0x93
0xf80x230B0xde	0x2fe	0x1000x230B0xde
