0x9b	0xbf
0xc8B0x0	0xf9B0x0
0x109B0x0	0x118B0x0
0x11bB0x0	0x124B0x0
0x118B0x0	0x11bB0x0
0x148B0x137B0x0	0x14eB0x137B0x0
0x14eB0x137B0x0	0x157B0x137B0x0
0xc8B0x4f	0xf9B0x4f
0x109B0x4f	0x118B0x4f
0x11bB0x4f	0x124B0x4f
0x118B0x4f	0x11bB0x4f
0x148B0x137B0x4f	0x14eB0x137B0x4f
0x14eB0x137B0x4f	0x157B0x137B0x4f
0x136B0x0	0x137B0x0
0x136B0x4f	0x137B0x4f
