0xc69	0xcb7
0x26bc	0x26cb
0x2aad	0x2b27
0x2c2d	0x2d48
0x2d92	0x2de7
0xb42	0x398c
0xb42	0x39b3
0x1bd2	0x3d79
0x1bd2	0x3da0
0x272a	0x3f81
0x276c	0x3fa7
0x27ae	0x3fcd
0x2808	0x3ff3
0x2808	0x4017
0x2def	0x4066
0xb42	0xbc70xb42
0x1bd2	0xbc70x1bd2
0xc36	0xc430xc36
0x2e84	0xc430x2e84
0x2808	0x25850x2808
0x14ea	0x3f360x14ea
0x26d1	0x3f360x26d1
0x14ea	0x3f5b0x14ea
0x26d1	0x3f5b0x26d1
