0x1ea	0x6fdde03
0x267	0x95ea7b3
0x2b4	0x18160ddd
0x2ce	0x1a895266
0x303	0x23b872dd
0x346	0x3092afd5
0x379	0x313ce567
0x397	0x3357162b
0x583	0x35d99f35
0x5b4	0x3f4ba83a
0x5bc	0x40c10f19
0x5f5	0x42966c68
0x612	0x4e44d956
0x64b	0x554bab3c
0x67e	0x5c975abb
0x686	0x70a08231
0x6b9	0x8456cb59
0x6c1	0x8a6db9c3
0x6f4	0x8da5cb5b
0x6fc	0x95d89b41
0x704	0x9fd0506d
0x70c	0xa9059cbb
0x745	0xaa20e1e4
0x778	0xaa271e1a
0x7ab	0xad38bf22
0x7de	0xbd102430
0x7e6	0xdd62ed3e
0x821	0xe5a6b10f
0x829	0xf2fde38b
0x85c	0xf9f92be4
0x88f	0xfe575a87
0x3162	0x00000000
