0x0	0x0
0x1f	0x1a
0x4	0x0
0xf	0xc
0x2	0x0
0x5	0x0
0x7	0x0
0x8	0x0
0xc	0xc
0x12	0x10
0x14	0x10
0x15	0x10
0x1a	0x1a
0x1c	0x1a
0x1d	0x1a
0x21	0x1a
0x26	0x1a
0x2c	0x2b
0x31	0x2b
0x37	0x36
0x3c	0x36
0x42	0x41
0x47	0x41
0x4d	0x4c
0x52	0x4c
0x58	0x57
0x5d	0x57
0x63	0x62
0x68	0x67
0x6b	0x67
0x6e	0x67
0x6f	0x67
0x70	0x67
0x73	0x67
0x74	0x67
0x75	0x67
0x79	0x79
0x80	0x7d
0x82	0x7d
0x84	0x7d
0x86	0x7d
0x88	0x7d
0x89	0x7d
0x8a	0x7d
0x8d	0x7d
0x8e	0x7d
0x8f	0x7d
0x91	0x7d
0x94	0x7d
0x95	0x7d
0x97	0x7d
0x9a	0x7d
0x9b	0x7d
0x9d	0x7d
0x9f	0x7d
0xa0	0x7d
0xa1	0x7d
0xa8	0xa7
0xab	0xa7
0xae	0xa7
0xaf	0xa7
0xb0	0xa7
0xb3	0xa7
0xb4	0xa7
0xb5	0xa7
0xb9	0xb9
0xc0	0xbd
0xc2	0xbd
0xc4	0xbd
0xc6	0xbd
0xc8	0xbd
0xc9	0xbd
0xca	0xbd
0xcd	0xbd
0xce	0xbd
0xcf	0xbd
0xd1	0xbd
0xd4	0xbd
0xd5	0xbd
0xd7	0xbd
0xd9	0xbd
0xda	0xbd
0xdb	0xbd
0xe0	0xdf
0xe3	0xdf
0xe8	0xe7
0xeb	0xe7
0xec	0xe7
0xee	0xe7
0xf0	0xe7
0xf2	0xe7
0xf3	0xe7
0xf6	0xe7
0xf9	0xe7
0xfd	0xe7
0xfe	0xe7
0x100	0xe7
0x104	0x103
0x107	0x103
0x10a	0x103
0x10b	0x103
0x10c	0x103
0x10f	0x103
0x110	0x103
0x111	0x103
0x115	0x115
0x11c	0x119
0x11e	0x119
0x121	0x119
0x122	0x119
0x124	0x119
0x126	0x119
0x127	0x119
0x128	0x119
0x12d	0x12c
0x130	0x12c
0x133	0x12c
0x134	0x12c
0x135	0x12c
0x138	0x12c
0x139	0x12c
0x13a	0x12c
0x13e	0x13e
0x144	0x142
0x145	0x142
0x147	0x142
0x149	0x142
0x14b	0x142
0x14c	0x142
0x14d	0x142
0x14e	0x142
0x153	0x152
0x156	0x152
0x159	0x152
0x15a	0x152
0x15b	0x152
0x15e	0x152
0x15f	0x152
0x160	0x152
0x164	0x164
0x16b	0x168
0x16d	0x168
0x170	0x168
0x171	0x168
0x173	0x168
0x175	0x168
0x176	0x168
0x177	0x168
0x17d	0x17b
0x180	0x17b
0x183	0x17b
0x185	0x17b
0x188	0x17b
0x18a	0x17b
0x18b	0x17b
0x18d	0x17b
0x18f	0x17b
0x191	0x17b
0x192	0x17b
0x193	0x17b
0x194	0x17b
0x196	0x17b
0x198	0x17b
0x19a	0x17b
0x19b	0x17b
0x19c	0x17b
0x19d	0x17b
0x1a2	0x17b
0x1a4	0x17b
0x1a6	0x17b
0x1ab	0x17b
0x1ac	0x17b
0x1ae	0x17b
0x1b1	0x17b
0x1b3	0x17b
0x1b4	0x17b
0x1b6	0x17b
0x1b8	0x17b
0x1bb	0x17b
0x1bf	0x17b
0x1c0	0x17b
0x1c2	0x17b
0x1c3	0x17b
0x1c7	0x1c7
0x1cd	0x1cb
0x1ce	0x1cb
0x1cf	0x1cb
0x1d1	0x1cb
0x1d2	0x1cb
0x1d6	0x1d6
0x1d7	0x1d6
0x1db	0x1d6
0x1dc	0x1d6
0x1e4	0x1df
0x1e6	0x1df
0x1e7	0x1df
0x1e8	0x1df
0x1eb	0x1df
0x1ec	0x1df
0x1ed	0x1df
0x1f1	0x1f1
0x1f7	0x1f5
0x1f8	0x1f5
0x1fb	0x1f5
0x1fc	0x1f5
0x201	0x1f5
0x203	0x1f5
0x206	0x1f5
0x209	0x1f5
0x20e	0x1f5
0x20f	0x1f5
0x211	0x1f5
0x213	0x1f5
0x215	0x1f5
0x216	0x1f5
0x219	0x1f5
0x21b	0x1f5
0x221	0x1f5
0x225	0x1f5
0x227	0x1f5
0x22f	0x1f5
0x230	0x1f5
0x234	0x1f5
0x235	0x1f5
0x237	0x1f5
0x238	0x1f5
0x23c	0x23c
0x242	0x240
0x243	0x240
0x244	0x240
0x246	0x240
0x247	0x240
0x24b	0x24b
0x24c	0x24b
0x250	0x24b
0x251	0x24b
0x259	0x254
0x25b	0x254
0x25c	0x254
0x25d	0x254
0x260	0x254
0x261	0x254
0x262	0x254
0x266	0x266
0x26c	0x26a
0x26e	0x26a
0x26f	0x26a
0x272	0x26a
0x274	0x26a
0x276	0x26a
0x278	0x26a
0x279	0x26a
0x27b	0x26a
0x27c	0x26a
0x27d	0x26a
0x27e	0x26a
0x282	0x282
0x285	0x282
0x286	0x282
0x28a	0x282
0x28c	0x282
0x28f	0x282
0x291	0x282
0x294	0x282
0x296	0x282
0x298	0x282
0x29b	0x282
0x29d	0x282
0x2ab	0x282
0x2ad	0x282
0x2ae	0x282
0x2b1	0x282
0x2b4	0x282
0x2b8	0x282
0x2b9	0x282
0x2bb	0x282
0x2c1	0x2be
0x2c3	0x2be
0x2c5	0x2be
0x2c7	0x2be
0x2c8	0x2be
0x2c9	0x2be
0x2cb	0x2be
0x2ee	0x2be
0x2f0	0x2be
0x2f5	0x2be
0x2f7	0x2be
0x2fb	0x2be
0x2fd	0x2be
0x302	0x2be
0x304	0x2be
0x307	0x2be
0x314	0x312
0x317	0x312
0x31a	0x312
0x31c	0x312
0x31f	0x312
0x321	0x312
0x322	0x312
0x324	0x312
0x326	0x312
0x328	0x312
0x329	0x312
0x32a	0x312
0x32b	0x312
0x32d	0x312
0x32f	0x312
0x331	0x312
0x332	0x312
0x333	0x312
0x334	0x312
0x339	0x312
0x33b	0x312
0x33d	0x312
0x342	0x312
0x343	0x312
0x345	0x312
0x348	0x312
0x34a	0x312
0x34b	0x312
0x34d	0x312
0x34f	0x312
0x352	0x312
0x356	0x312
0x357	0x312
0x359	0x312
0x35a	0x312
0x35e	0x35e
0x364	0x362
0x365	0x362
0x366	0x362
0x368	0x362
0x369	0x362
0x36d	0x36d
0x36e	0x36d
0x372	0x36d
0x373	0x36d
0x37b	0x376
0x37d	0x376
0x37e	0x376
0x37f	0x376
0x382	0x376
0x383	0x376
0x384	0x376
0x388	0x388
0x38e	0x38c
0x38f	0x38c
0x392	0x38c
0x393	0x38c
0x398	0x38c
0x39a	0x38c
0x39d	0x38c
0x3a0	0x38c
0x3a5	0x38c
0x3a6	0x38c
0x3a8	0x38c
0x3aa	0x38c
0x3ac	0x38c
0x3ad	0x38c
0x3b0	0x38c
0x3b2	0x38c
0x3b8	0x38c
0x3bc	0x38c
0x3be	0x38c
0x3c6	0x38c
0x3c7	0x38c
0x3cb	0x38c
0x3cc	0x38c
