0x90d	0x91d
0x996	0xa02
0xa2a	0xac6
0xbac	0xbda
0xbe5	0xd2f
0xd3a	0xd4a
0xdaf	0xdbe
0xe31	0xe31
0x1096	0x1096
0x15a4	0x15a4
0x15bd	0x15bd
0x15cf	0x15cf
0x15ef	0x5420x15ef
0x5af	0x6290x5af
0x632	0x66a0x632
0xf28	0x66a0xf28
0x6c1	0x6c50x6c1
0x744	0x7920x744
0x8d7	0x7920x8d7
0x799	0x8cd0x799
0xf28	0x8cd0xf28
0x93e	0x9900x93e
0xe75	0x9900xe75
0xed7	0xf210xed7
0xf5b	0x10470xf5b
0x109a	0x13200x109a
0x132d	0x14d10x132d
