0xf8	0x00000000
0xfd	0xa8ed3db
0x127	0x3d6ab68f
0x14c	0x60b1e057
0x15f	0x6815c992
0x1c9	0x6d6712d8
0x205	0x710a8315
0x252	0x80afdea8
0x265	0x8b3dd749
0x278	0x9b3fdf4c
0x28b	0x9d0effdb
0x2b3	0xa1658fad
0x316	0xafd925df
0x33e	0xb1905727
0x37c	0xbe038478
0x3ab	0xc4d66de8
0x3ca	0xc513f66e
0x3dd	0xd4aae0c4
0x3f0	0xf520b58d
0x45a	0xf92a79ff
0x4ab	0xfdef9106
