0x353e	0x35bf
0x3540	0x35a7
0x3542	0x35aa
0x3544	0x35ad
0x3546	0x35b0
0x3548	0x3598
0x354a	0x359b
0x354c	0x359e
0x354e	0x35a1
0x3550	0x35a4
0x3552	0x3589
0x3554	0x358c
0x3556	0x358f
0x3558	0x3592
0x355a	0x3595
0x355c	0x357a
0x355e	0x357d
0x3560	0x3580
0x3562	0x3583
0x3564	0x3586
0x3566	0x356e
0x3568	0x3571
0x356a	0x3574
0x356c	0x3577
0x22820x227a	0x34fb0x2282
0x22940x227a	0x34fb0x2294
0x4b80x13e2	0x2c9f0x4b8
0xbc40x13e2	0x2c9f0xbc4
0x13c50x13e2	0x2c9f0x13c5
0x4b80x13cf	0x2c790x4b8
0xbc40x13cf	0x2c790xbc4
0x4b80x571	0x13c50x4b8
0xbc40x571	0x13c50xbc4
0x4b80x55a	0x5660x4b8
0xbc40x55a	0x5660xbc4
0x4b80x535	0x5420x4b8
0xbc40x535	0x5420xbc4
0x2ca0x2d6	0x24970x2ca
0x3450x2d6	0x24970x345
0x3b30x2d6	0x24970x3b3
0x3f40x2d6	0x24970x3f4
0x25f0x26b	0x24470x25f
0x30f0x26b	0x24470x30f
0x32a0x26b	0x24470x32a
0x33d0x26b	0x24470x33d
0x3ab0x26b	0x24470x3ab
0x4860x26b	0x24470x486
0x2360x24d	0x241f0x236
0x2740x24d	0x241f0x274
0x2870x24d	0x241f0x287
0x2ba0x24d	0x241f0x2ba
0x2c20x24d	0x241f0x2c2
0x2f40x24d	0x241f0x2f4
0x2fc0x24d	0x241f0x2fc
0x3170x24d	0x241f0x317
0x3580x24d	0x241f0x358
0x3600x24d	0x241f0x360
0x37d0x24d	0x241f0x37d
0x3850x24d	0x241f0x385
0x3980x24d	0x241f0x398
0x3bb0x24d	0x241f0x3bb
0x40f0x24d	0x241f0x40f
0x43d0x24d	0x241f0x43d
0x4450x24d	0x241f0x445
0x4580x24d	0x241f0x458
0x46b0x24d	0x241f0x46b
0x491V0x244	0x4a10x48eB0x244
0x495V0x244	0x49cB0x244
0xc80V0x7ad	0xc87B0x7ad
0xc83V0x7ad	0x14efB0x7ad
0xc80V0xd0c	0xc87B0xd0c
0xc83V0xd0c	0x14efB0xd0c
0xc80V0xdc5	0xc87B0xdc5
0xc83V0xdc5	0x14efB0xdc5
0xc80V0x11e2	0xc87B0x11e2
0xc83V0x11e2	0x14efB0x11e2
0x6feV0x2ba	0x74d0x6f7B0x2ba
0x702V0x2ba	0x713B0x2ba
0x717V0x2ba	0x2617B0x2ba
0x71bV0x2ba	0x72cB0x2ba
0x730V0x2ba	0x2642B0x2ba
0x75aV0x2c2	0x74d0x753B0x2c2
0x75eV0x2c2	0x76fB0x2c2
0x773V0x2c2	0x266dB0x2c2
0x777V0x2c2	0x788B0x2c2
0x78cV0x2c2	0x2698B0x2c2
0xc80V0x3b3	0xc87B0x3b3
0xc83V0x3b3	0x14efB0x3b3
0x2180V0x7ba	0x4a10x2178B0x7ba
0x2184V0x7ba	0x1f56B0x7ba
0x1f59V0x7ba	0x1f63B0x7ba
0x2100V0x84a	0x4a10x20f8B0x84a
0x2104V0x84a	0x1de5B0x84a
0x1de8V0x84a	0x1df2B0x84a
0x2076V0xbf8	0x33d0B0xbf8
0x1c84V0x2071V0xbf8	0x32abB0x2071B0xbf8
0x2180V0xd19	0x4a10x2178B0xd19
0x2184V0xd19	0x1f56B0xd19
0x1f59V0xd19	0x1f63B0xd19
0x2150V0xd43	0x4a10x2148B0xd43
0x2154V0xd43	0x1ec2B0xd43
0x1ec5V0xd43	0x1ecfB0xd43
0x2180V0xdd2	0x4a10x2178B0xdd2
0x2184V0xdd2	0x1f56B0xdd2
0x1f59V0xdd2	0x1f63B0xdd2
0x2100V0xdfb	0x4a10x20f8B0xdfb
0x2104V0xdfb	0x1de5B0xdfb
0x1de8V0xdfb	0x1df2B0xdfb
0x2110V0xe52	0x4a10x2108B0xe52
0x2114V0xe52	0x1e09B0xe52
0x1e0cV0xe52	0x1e16B0xe52
0x2130V0xed1	0x4a10x2128B0xed1
0x2134V0xed1	0x1e68B0xed1
0x1e6bV0xed1	0x1e75B0xed1
0x2170V0xf64	0x4a10x2168B0xf64
0x2174V0xf64	0x1f2dB0xf64
0x1f30V0xf64	0x1f3aB0xf64
0x2180V0x11f1	0x4a10x2178B0x11f1
0x2184V0x11f1	0x1f56B0x11f1
0x1f59V0x11f1	0x1f63B0x11f1
0x2160V0x14d8	0x4a10x2158B0x14d8
