0x0	0x9fB0x0
0x4a	0x9fB0x4a
0x98	0x14e
0x9fB0x0	0xe2B0x0
0x9fB0x0	0xd1B0x0
0xe2B0x0	0x113B0x0
0xe2B0x0	0xf2B0x0
0xffB0x0	0xf5B0x0
0x113B0x0	0x126B0x113B0x0
0xf5B0x0	0xffB0x0
0xf5B0x0	0x112B0x0
0xd1B0x0	0x113B0x0
0xf2B0x0	0xf5B0x0
0x137B0x113B0x0	0x12dB0x113B0x0
0x126B0x113B0x0	0x12dB0x113B0x0
0x12dB0x113B0x0	0x137B0x113B0x0
0x12dB0x113B0x0	0x147B0x113B0x0
0x9fB0x4a	0xe2B0x4a
0x9fB0x4a	0xd1B0x4a
0xe2B0x4a	0x113B0x4a
0xe2B0x4a	0xf2B0x4a
0xffB0x4a	0xf5B0x4a
0x113B0x4a	0x126B0x113B0x4a
0xf5B0x4a	0xffB0x4a
0xf5B0x4a	0x112B0x4a
0xd1B0x4a	0x113B0x4a
0xf2B0x4a	0xf5B0x4a
0x137B0x113B0x4a	0x12dB0x113B0x4a
0x126B0x113B0x4a	0x12dB0x113B0x4a
0x12dB0x113B0x4a	0x137B0x113B0x4a
0x12dB0x113B0x4a	0x147B0x113B0x4a
0x122B0x0	0x4a
0x14bB0x113B0x0	0x122B0x0
0x147B0x113B0x0	0x14bB0x113B0x0
0x122B0x4a	0x98
0x14bB0x113B0x4a	0x122B0x4a
0x147B0x113B0x4a	0x14bB0x113B0x4a
0x112B0x0	0x113B0x0
0x112B0x4a	0x113B0x4a
