0x3e	0x4a
0x8c	0x98
0x9a	0x14e
0xccV0x0	0xe2B0x0
0xedV0x0	0x113B0x0
0x10dV0x0	0xf5B0x0
0x117V0x0	0x122B0x0
0xfaV0x0	0x112B0x0
0xddV0x0	0x113B0x0
0x142V0x113V0x0	0x12dB0x113B0x0
0x127V0x113V0x0	0x14bB0x113B0x0
0x132V0x113V0x0	0x147B0x113B0x0
0xccV0x4a	0xe2B0x4a
0xedV0x4a	0x113B0x4a
0x10dV0x4a	0xf5B0x4a
0x117V0x4a	0x122B0x4a
0xfaV0x4a	0x112B0x4a
0xddV0x4a	0x113B0x4a
0x142V0x113V0x4a	0x12dB0x113B0x4a
0x127V0x113V0x4a	0x14bB0x113B0x4a
0x132V0x113V0x4a	0x147B0x113B0x4a
