0x8f8	vestedBalanceOf(address)
0xa6d	transferFrom(address,address,uint256)
0xc21	balanceOf(address)
0xc9d	claim()
0xd3e	balanceOf(address)
0xfd4	transfer(address,uint256)
0x79f0x2b3	transfer(address,uint256)
0x79f0xb3eS0x3ff	transfer(address,uint256)
