0x0	__function_selector__
0x33b	name()
0x3b8	approve(address,uint256)
0x405	totalSupply()
0x41f	unBlacklist(address)
0x454	transferFrom(address,address,uint256)
0x497	updateRescuer(address)
0x4ca	initializeV2_1(address)
0x4fd	removeMinter(address)
0x530	PERMIT_TYPEHASH()
0x538	decimals()
0x556	initialize(string,string,string,uint8,address,address,address,address)
0x742	masterMinter()
0x773	DOMAIN_SEPARATOR()
0x77b	rescuer()
0x783	increaseAllowance(address,uint256)
0x7bc	unpause()
0x7c4	mint(address,uint256)
0x7fd	burn(uint256)
0x81a	configureMinter(address,uint256)
0x853	version()
0x85b	updatePauser(address)
0x88e	cancelAuthorization(address,bytes32,uint8,bytes32,bytes32)
0x8dc	paused()
0x8e4	balanceOf(address)
0x917	nonces(address)
0x94a	RECEIVE_WITH_AUTHORIZATION_TYPEHASH()
0x952	pause()
0x95a	minterAllowance(address)
0x98d	owner()
0x995	symbol()
0x99d	pauser()
0x9a5	TRANSFER_WITH_AUTHORIZATION_TYPEHASH()
0x9ad	decreaseAllowance(address,uint256)
0x9e6	transfer(address,uint256)
0xa1f	updateMasterMinter(address)
0xa52	isMinter(address)
0xa85	updateBlacklister(address)
0xab8	rescueERC20(address,address,uint256)
0xafb	blacklister()
0xb03	permit(address,address,uint256,uint256,uint8,bytes32,bytes32)
0xb61	initializeV2(string)
0xbd1	CANCEL_AUTHORIZATION_TYPEHASH()
0xbd9	allowance(address,address)
0xc14	transferWithAuthorization(address,address,uint256,uint256,uint256,bytes32,uint8,bytes32,bytes32)
0xc80	currency()
0xc88	authorizationState(address,bytes32)
0xcc1	receiveWithAuthorization(address,address,uint256,uint256,uint256,bytes32,uint8,bytes32,bytes32)
0xd2d	transferOwnership(address)
0xd60	blacklist(address)
0xd93	isBlacklisted(address)
0xdc6	0xdc6
0x292a	0x292a
0x3527	0x3527
0x39da	0x39da
0x3b21	0x3b21
0x3d4c	0x3d4c
0x3d95	0x3d95
0x3ddc	0x3ddc
0x3e26	0x3e26
0x4023	0x4023
0x407f	0x407f
0x410c	0x410c
0x4327	0x4327
0x4469	0x4469
0x4576	0x4576
0x4627	0x4627
0x46b5	0x46b5
0x4727	0x4727
0x47ff	0x47ff
0x4944	0x4944
0x4b41	0x4b41
0x4d17	0x4d17
0x4d50	0x4d50
0x4dce	0x4dce
0x4e5a	0x4e5a
0x5403	()
0x5403	fallback()
