0x0	0xd
0x3f	0x4a
0x60	0x6b
0xd	0x1e
0x1eb6	0x1ed1
0x252b	0x2566
0x26e4	0x272b
0x277d	0x278f
0x30d7	0x3118
0x3322	0x3345
0x4d2b	0x4d33
0x1f2	0x1fe
0x10d	0x119
0xa0	0xac
0x6f	0x7b
0xdc	0xe8
0x185	0x191
0x154	0x160
0x1c1	0x1cd
0x2e2	0x2ee
0x275	0x281
0x244	0x250
0x2b1	0x2bd
0x35a	0x366
0x329	0x335
0x396	0x3a1
0x116a	0x1182
0x47b2	0x47cd
0x1402	0x141b
0x48b1	0x48c3
0x4718	0x4731
0x19aa	0x19c3
0x1a36	0x1a4f
0x4a87	0x4a99
0x1afd	0x1b13
0x1e	0x29
0x49a6	0x49ba
0x1bb6	0x1bcf
0x1c52	0x1c65
0x4a4f	0x4a61
0x4902	0x491d
0x2351	0x236a
0x4b11	0x4b20
0xd61	0xd70
0xd90	0xd9f
0x10b8	0x10c7
0x4dc5	0x4dd0
0x4c81	0x4c8d
0x4da6	0x4db9
0x2508	0x252b
0x2a40	0x2a6c
0x12c2	0x12d1
0x142f	0x1435
0x1453	0x1458
0x1448	0x1453
0x146f	0x149b
0x14b2	0x1501
0x1505	0x1510
0x153d	0x1551
0x15ae	0x15b9
0x15ab	0x15ae
0x15fc	0x162a
0x4ddc	0x4de9
0x2c02	0x2ce0
0x30bf	0x30d7
0x193b	0x194a
0x1961	0x196a
0x19d7	0x19dd
0x19fb	0x1a00
0x19f0	0x19fb
0x3558	0x3584
0x1a63	0x1a69
0x1a87	0x1a8c
0x1a7c	0x1a87
0x1b6b	0x1b7a
0x1be3	0x1be9
0x1c07	0x1c0c
0x1bfc	0x1c07
0x1c73	0x1c78
0x1cf8	0x1d07
0x1d9a	0x1da9
0x1dc0	0x1dec
0x1e31	0x1eb6
0x1ed1	0x1eef
0x1f2a	0x1f92
0x1f96	0x1fa1
0x202a	0x2039
0x20c3	0x20d2
0x20e9	0x20f3
0x218a	0x2199
0x21e8	0x21f7
0x220e	0x221d
0x22e3	0x22f2
0x2309	0x2313
0x237e	0x2384
0x23a2	0x23a7
0x2397	0x23a2
0x23e0	0x23ef
0x2406	0x2410
0x2419	0x2423
0x242c	0x2436
0x2469	0x2485
0x24a6	0x24ab
0x24ab	0x24b5
0x25a9	0x25ae
0x256a	0x2575
0x25ae	0x25c1
0x2627	0x262a
0x2638	0x2642
0x2647	0x264c
0x2693	0x26a4
0x26d0	0x26e4
0x272f	0x273a
0x2767	0x2773
0x2777	0x277d
0x27d9	0x27db
0x27d6	0x27d9
0x27e5	0x27ec
0x2836	0x283d
0x2871	0x2887
0x288b	0x2896
0x28c3	0x28d4
0x28ec	0x28ee
0x2919	0x293f
0x2a32	0x2a39
0x299f	0x29a8
0x29de	0x29f4
0x29f8	0x2a03
0x2a30	0x2a32
0x2a83	0x2a96
0xe8	0xf3
0x2d27	0x2d34
0x2d6a	0x2d75
0x2daa	0x2db6
0x2de5	0x2dfc
0x2de2	0x2de5
0x2e5d	0x2e77
0x444d	0x4460
0x2ee6	0x2f05
0x311c	0x3127
0x3154	0x315c
0x31a8	0x31c2
0x31e0	0x31e6
0x3218	0x3221
0x32ab	0x32ad
0x3257	0x326d
0x3271	0x327c
0x32a9	0x32ab
0x32bb	0x32ea
0x3301	0x3322
0x3349	0x334e
0x341e	0x34cf
0x34d3	0x34de
0x359b	0x35ea
0x35ee	0x35f9
0x3626	0x363a
0x3697	0x36a2
0x3694	0x3697
0x36e5	0x3712
0x3763	0x37a0
0x38d7	0x3907
0x38af	0x38d7
0x393b	0x3947
0x397b	0x3987
0x3bd8	0x3bee
0x3bf2	0x3bfd
0x3c2a	0x3c90
0x4d14	0x4d1a
0x4d21	0x4d2b
0x4d41	0x4d4b
0x4d5d	0x4d78
0x4d8a	0x4d97
0x3c7	0x3cf
0x40c	0x414
0x42e	0x436
0x451	0x459
0x471	0x479
0x491	0x499
0x4a6	0x4ae
0x4bc	0x4c4
0x4d1	0x4d9
0x4f1	0x4f9
0x524	0x52c
0x554	0x55c
0x58c	0x594
0x5ac	0x5b4
0x5c1	0x5c9
0x5fc	0x604
0x61c	0x624
0x63c	0x644
0x652	0x65a
0x743	0x74b
0x779	0x781
0x799	0x7a1
0x7d1	0x7d9
0x7f1	0x7f9
0x811	0x819
0x83a	0x842
0x85a	0x862
0x878	0x880
0x898	0x8a0
0x8b8	0x8c0
0x8cd	0x8d5
0x8fd	0x905
0x913	0x91b
0x929	0x931
0x949	0x951
0x969	0x971
0x9e6	0x9ee
0x9fc	0xa04
0xa1c	0xa24
0xa7d	0xa85
0xaad	0xab5
0xacd	0xad5
0xaed	0xaf5
0xb1a	0xb22
0xb3a	0xb42
0xb5a	0xb62
0xb7a	0xb82
0xb9a	0xba2
0xbba	0xbc2
0xbda	0xbe2
0xc07	0xc0f
0xc27	0xc2f
0xc50	0xc58
0xc78	0xc80
0xc98	0xca0
0xcb8	0xcc0
0xcd8	0xce0
0xcf8	0xd00
0xd0e	0xd16
0xd2e	0xd36
0x34	0x3f
0x4cfe	0x4d0d
0x29	0x34
0x4a	0x55
0x55	0x60
0x7b	0x86
0x86	0x91
0x91	0x9c
0xac	0xb7
0xb7	0xc2
0xc2	0xcd
0xcd	0xd8
0xf3	0xfe
0xfe	0x109
0x119	0x124
0x124	0x12f
0x12f	0x13a
0x13a	0x145
0x145	0x150
0x160	0x16b
0x16b	0x176
0x176	0x181
0x191	0x19c
0x19c	0x1a7
0x1a7	0x1b2
0x1b2	0x1bd
0x1cd	0x1d8
0x1d8	0x1e3
0x1e3	0x1ee
0x1fe	0x209
0x209	0x214
0x214	0x21f
0x21f	0x22a
0x22a	0x235
0x235	0x240
0x250	0x25b
0x25b	0x266
0x266	0x271
0x281	0x28c
0x28c	0x297
0x297	0x2a2
0x2a2	0x2ad
0x2bd	0x2c8
0x2c8	0x2d3
0x2d3	0x2de
0x2ee	0x2f9
0x2f9	0x304
0x304	0x30f
0x30f	0x31a
0x31a	0x325
0x335	0x340
0x340	0x34b
0x34b	0x356
0x366	0x371
0x371	0x37c
0x37c	0x387
