0x1beb	0x1bfc
0x1c08	0x1c23
0x1c1b	0x5efd
0x1c2a	0x1c45
0x1c61	0x1c73
0x1c74	0x1c7c
0x1ce7	0x1cf8
0x1d03	0x1d1e
0x1d16	0x5f25
0x1d57	0x1d62
0x1d89	0x1d9a
0x1da5	0x1dc0
0x1db8	0x5f4d
0x1de8	0x1e20
0x1e1c	0x4f8e
0x1e29	0x1e31
0x1eb2	0x1ed1
0x1eeb	0x5f75
0x1f19	0x1f2a
0x1f8e	0x1f96
0x1f9d	0x1faa
0x2019	0x202a
0x2035	0x2050
0x2048	0x5f9d
0x2082	0x208e
0x208f	0x209e
0x20b2	0x20c3
0x20ce	0x20e9
0x20e1	0x5fc5
0x20ef	0x2128
0x2124	0x4fb6
0x2164	0x216e
0x2179	0x218a
0x2195	0x21b0
0x21a8	0x5fed
0x21d7	0x21e8
0x21f3	0x220e
0x2206	0x6015
0x2219	0x2273
0x226f	0x4fde
0x22d2	0x22e3
0x22ee	0x2309
0x2301	0x603d
0x230f	0x2348
0x2344	0x5006
0x2366	0x237e
0x2380	0x23a2
0x2386	0x2397
0x23a3	0x23be
0x23b6	0x6065
0x23bf	0x608d
0x23cf	0x23e0
0x23eb	0x2406
0x23fe	0x60b8
0x240c	0x2419
0x2415	0x19030x23cb
0x241f	0x242c
0x2428	0x19030x23cb
0x2432	0x19030x23cb
0x2460	0x2469
0x2481	0x24a6
0x24a2	0x24ab
0x24b1	0x60e0
0x2504	0x502e
0x2527	0x25a9
0x2562	0x256a
0x2571	0x257e
0x2599	0x25a2
0x25a5	0x25ae
0x25bd	0x262a
0x25c5	0x2604
0x2600	0x5056
0x2605	0x260e
0x2614	0x261d
0x261e	0x2627
0x262f	0x2638
0x263e	0x2647
0x2648	0x2693
0x268f	0x507e
0x26a0	0x26c4
0x26ac	0x26b5
0x26ba	0x6104
0x26c7	0x26d0
0x26e0	0x27db
0x2727	0x272f
0x2736	0x2743
0x275e	0x2767
0x276f	0x2777
0x2779	0x27d9
0x278b	0x27ac
0x2792	0x279b
0x279c	0x27a5
0x27a8	0x27d9
0x27ad	0x27b6
0x27b7	0x27c0
0x27c1	0x27ca
0x27cd	0x27d6
0x27dc	0x27e5
0x27e8	0x27fc
0x27ec	0x27f5
0x27f8	0x2836
0x2832	0x50a6
0x2839	0x28ee
0x2860	0x2871
0x2883	0x288b
0x2892	0x289f
0x28ba	0x28c3
0x28d0	0x28e2
0x28d4	0x28dd
0x28de	0x28ec
0x28e3	0x28ec
0x28f7	0x2900
0x2910	0x2919
0x293b	0x2a32
0x2940	0x2949
0x2957	0x2960
0x2961	0x296a
0x296b	0x2974
0x2975	0x297e
0x2982	0x298b
0x298c	0x2995
0x2996	0x299f
0x29a4	0x2a32
0x29cd	0x29de
0x29f0	0x29f8
0x29ff	0x2a0c
0x2a27	0x2a30
0x2a68	0x2a83
0x2a7b	0x612a
0x2a92	0x2aa1
0x2a96	0x2aa1
0x2aa4	0x2aaf
0x2ad2	0x2adc
0x2af5	0x2aff
0x2be3	0x2bf0
0x2cdc	0x2d27
0x2d23	0x50ce
0x2d30	0x2d6a
0x2d66	0x50f6
0x2d71	0x2edc
0x2d83	0x2d8b
0x2d90	0x2daa
0x2db2	0x2de5
0x2db6	0x2dbf
0x2dd9	0x2de2
0x2df8	0x2e43
0x2e3f	0x511e
0x2e53	0x2e5d
0x2e73	0x2eab
0x2e92	0x2ea6
0x2ea7	0x2ed4
0x2ec1	0x2ed4
0x2ed8	0x2f05
0x2edd	0x2ee6
0x30d3	0x32ad
0x3114	0x311c
0x3123	0x3130
0x314b	0x3154
0x3158	0x3196
0x3192	0x5146
0x319f	0x31a8
0x31be	0x31e0
0x31e2	0x32ad
0x31f1	0x31fa
0x31fb	0x3204
0x3205	0x320e
0x320f	0x3218
0x321d	0x32ab
0x3246	0x3257
0x3269	0x3271
0x3278	0x3285
0x32a0	0x32a9
0x32b0	0x32bb
0x32e6	0x3301
0x32f9	0x6152
0x331e	0x33d6
0x3341	0x3349
0x334a	0x3384
0x3380	0x516e
0x3394	0x339e
0x33ae	0x33b7
0x33d2	0x341e
0x341a	0x5196
0x34cb	0x34d3
0x34da	0x34e7
0x3502	0x350b
0x353c	0x3547
0x3580	0x359b
0x3593	0x617a
0x35e6	0x35ee
0x35f5	0x3602
0x361d	0x3626
0x3636	0x366a
0x363b	0x364e
0x364f	0x3658
0x3659	0x3663
0x3666	0x3697
0x3675	0x367f
0x3680	0x3689
0x368a	0x3694
0x369e	0x36d6
0x36d2	0x51be
0x36da	0x36e5
0x370e	0x3763
0x3738	0x3742
0x374f	0x3757
0x375f	0x38d7
0x379c	0x38af
0x3841	0x3853
0x38a7	0x3c90
0x3903	0x390e
0x390a	0x51e6
0x392f	0x393b
0x3943	0x394e
0x394a	0x521b
0x396f	0x397b
0x3983	0x398e
0x398a	0x5250
0x3bce	0x3bd8
0x3bea	0x3bf2
0x3bf9	0x3c06
0x3c21	0x3c2a
0x445c	0x4469
0x4460	0x61ec
0x446a	0x6210
0x472d	0x4735
0x4738	0x4740
0x4748	0x4750
0x4758	0x4760
0x4768	0x4770
0x4778	0x4780
0x4783	0x478e
0x4791	0x479c
0x47c9	0x47d1
0x47d4	0x47dc
0x47e4	0x47ec
0x47f4	0x47fc
0x4804	0x480c
0x480f	0x481a
0x481d	0x4828
0x48bf	0x48c7
0x48ca	0x48d2
0x48da	0x48e2
0x48ea	0x634a
0x4919	0x4921
0x4924	0x492c
0x4934	0x493c
0x4944	0x494c
0x495b	0x4963
0x496b	0x4973
0x4976	0x4981
0x4984	0x498f
0x49b6	0x49be
0x49c1	0x49c9
0x49d1	0x49d9
0x49dc	0x49e7
0x49ea	0x6379
0x4a5d	0x4a65
0x4a68	0x4a70
0x4a7f	0x63d3
0x4a95	0x4a9d
0x4aa0	0x4aa8
0x4b1c	0x4b24
0x4c89	0x4c94
0x4c90	0x53ed
0x4d01	0x6428
0x4d09	0x4d14
0x4d10	0x644e
0x4d16	0x4d21
0x4d1d	0x6473
0x4d27	0x4d37
0x4d2f	0x4d41
0x4d33	0x4d5d
0x4d3d	0x6498
0x4d47	0x4d52
0x4d4e	0x5457
0x4d59	0x64bd
0x4d74	0x4d80
0x4d7c	0x64e2
0x4d81	0x4d8a
0x4d93	0x4d9e
0x4d9a	0x548c
0x4db5	0x4dc0
0x4dbc	0x54c1
0x4dcc	0x4dd7
0x4dd3	0x54f6
0x4de5	0x4df0
0x4dec	0x552b
0x558b	0x4030x42e
0x55d9	0x4030x491
0x5606	0x4030x4a6
0x565e	0x4030x554
0x568b	0x4030x5ac
0x56b8	0x4030x63c
0x56e5	0x4030x743
0x571c	0x4030x779
0x5749	0x4030x799
0x5780	0x4030x7d1
0x57b7	0x4030x7f1
0x57e4	0x4030x811
0x581b	0x4030x85a
0x5848	0x4030x8b8
0x5875	0x4030x8fd
0x58a2	0x4030x913
0x58d9	0x4030x929
0x5906	0x4030x9e6
0x593d	0x4030x9fc
0x596a	0x4030xaed
0x59b8	0x4030xb5a
0x59e5	0x4030xb7a
0x5a1c	0x4030xb9a
0x5a53	0x4030xbba
0x5a80	0x4030xbda
0x5aad	0x4030xc27
0x5b05	0x4030xc98
0x5b53	0x4030xcf8
0x652c	0x65ae
0x652e	0x6665
0x6530	0x6668
0x6532	0x666b
0x6534	0x666e
0x6536	0x6659
0x6538	0x665c
0x653a	0x665f
0x653c	0x6662
0x653e	0x664d
0x6540	0x6650
0x6542	0x6653
0x6544	0x6656
0x6546	0x6641
0x6548	0x6644
0x654a	0x6647
0x654c	0x664a
0x654e	0x6635
0x6550	0x6638
0x6552	0x663b
0x6554	0x663e
0x6556	0x6629
0x6558	0x662c
0x655a	0x662f
0x655c	0x6632
