0x1108	votingBalanceOfNow(address)
0x125b	cancelTransaction(address,uint256,string,bytes,uint256)
0x21cf	executeTransaction(address,uint256,string,bytes,uint256)
0x2337	votingBalanceOf(address,uint256)
0x24d5	queuedTransactions(bytes32)
0x257c	queueTransaction(address,uint256,string,bytes,uint256)
0x10070x6a2	delay()
0x10070xed5	GRACE_PERIOD()
0x171fS0x62f	acceptAdmin()
0x96cS0x381	executeTransaction(address,uint256,string,bytes,uint256)
0x1542S0x59f	queueTransaction(address,uint256,string,bytes,uint256)
0x1a2eS0x69d	_setProposalVals(address,uint256)
