0x3d7	0x3ad	0x3a4
0x410	0x3e1	0x3dd
0x449	0x41a	0x416
0x482	0x453	0x44f
0x4bb	0x48c	0x488
0x4f4	0x4c5	0x4c1
0x52d	0x4fe	0x4fa
0x566	0x537	0x533
0x5bf	0x591	0x588
0x2980x261	0xb96	0x2610x284
0x2980x82b	0x2054	0x82b0x284
