0x682	0xac7
0xcdf	0xd26
0xd2e	0x109f
0x1306	0x15f0
0x16f1	0x1713
0x11a6	0x2ba9
0x12d3	0x2bcf
0xb98	0xcd50xb98
0x10a3	0x11500x10a3
0x11e0	0x11500x11e0
0x11f0	0x12c40x11f0
0x1624	0x12c40x1624
