0x8d	0x91954cd
0xb5	0x452a9320
0xd9	0x485cc955
0x107	0x6fd4ac91
0x121	0x715018a6
0x129	0x8da5cb5b
0x131	0xe9946f6c
0x139	0xf2fde38b
0x6c1	0x00000000
