0x1de	0x8cc262
0x216	0x700037d
0x23c	0x18160ddd
0x244	0x19762143
0x26c	0x1c1f78eb
0x274	0x386a9525
0x27c	0x3c6b16ab
0x299	0x3fc6df6e
0x2bd	0x70a08231
0x2e3	0x715018a6
0x2eb	0x72f702f3
0x2f3	0x7b0a47ee
0x2fb	0x80faa57d
0x303	0x8129fc1c
0x30b	0x8980f11f
0x337	0x8b876347
0x35d	0x8da5cb5b
0x365	0x8f32d59b
0x381	0xa430be6c
0x389	0xa694fc3a
0x3a6	0xc0c53b8b
0x3de	0xc4d66de8
0x404	0xc8f33c91
0x40c	0xcc1a378f
0x429	0xcd3daf9d
0x431	0xd1af0c7d
0x439	0xdf136d65
0x441	0xe9fad8ee
0x449	0xebe2b12b
0x451	0xf2fde38b
0x19b1	0x00000000
