0x0	__function_selector__
0x152	name()
0x1cf	approve(address,uint256)
0x20f	governor()
0x233	setConfig(bytes32,uint256)
0x258	totalSupply()
0x272	transferFrom(address,address,uint256)
0x2a8	decimals()
0x2c6	increaseAllowance(address,uint256)
0x2f2	getConfig(bytes32,address)
0x31e	__MATTER_init(address,address,address,address,address,address,address)
0x376	getConfig(bytes32)
0x393	balanceOf(address)
0x3b9	renounceGovernorship()
0x3c1	getConfig(bytes32,uint256)
0x3e4	symbol()
0x3ec	__MATTER_init_unchained(address,address,address,address,address,address)
0x43a	decreaseAllowance(address,uint256)
0x466	transfer(address,uint256)
0x492	setConfig(bytes32,address,uint256)
0x4c4	transferGovernorship(address)
0x4ea	allowance(address,address)
0x518	setConfig(bytes32,uint256,uint256)
0x541	__Governable_init_unchained(address)
0x567	0x567
0x6db	0x6db
0x8f7	0x8f7
0x958	0x958
0xb2f	0xb2f
0xc20	0xc20
0xc24	0xc24
0xd10	0xd10
0xd37	0xd37
0xe94	0xe94
0xf2b	0xf2b
0xf8c	0xf8c
0xf92	0xf92
0x1033	0x1033
0x110b	0x110b
0x126c	0x126c
0x12ea	0x12ea
0x14a6	()
0x14a6	fallback()
0x1b44	0x1b44
0x1bae	0x1bae
