0x11a7	0x128c
0x9f2	0x190b
0x9f2	0x1932
0x10d8	0x19a5
0x10d8	0x19cc
0x9f2	0xa950x9f2
0x10d8	0xa950x10d8
0xa9d	0xac30xa9d
