0xfe2	0x1be1
0x175f	0x2170
0x1c59	0x2117
0x1cf8	0x2170
0x3d6	0xc63
0xc63	0x2151
0x47a	0xfd3
0x9a1	0xc63
0x9ac	0x2117
0x9d9	0x2170
0x9ef	0x2151
0xa07	0x1973
0xa20	0x1973
0xc96	0xfd3
0xcb8	0x2117
0xcc2	0x2117
0xccc	0x2170
0xd46	0x2117
0xfeb	0x2117
0xff5	0x2187
0x182f	0x2117
0x194b	0x2117
0x1bf7	0x1db6
0x1c40	0x2117
0x1d01	0x2151
0x2f21	0x2f4
0x2f9f	0x654
0x2fa2	0x667
0x2fa5	0x68e
0x2f96	0x625
0x2f99	0x638
0x2f9c	0x641
0x2f8d	0x5df
0x2f90	0x5ff
0x2f93	0x612
0x2f87	0x5a4
0x2f8a	0x5cc
0x2f7e	0x576
0x2f81	0x589
0x2f84	0x591
0x2f75	0x520
0x2f78	0x543
0x2f7b	0x556
0x2f6c	0x4e7
0x2f6f	0x4fa
0x2f72	0x50d
0x2f66	0x4d6
0x2f69	0x4de
0x2f5d	0x487
0x2f60	0x48f
0x2f63	0x4af
0x2f54	0x45f
0x2f57	0x46c
0x2f5a	0x47f
0x2f4b	0x421
0x2f4e	0x444
0x2f51	0x457
0x2f45	0x3fb
0x2f48	0x40e
0x2f3c	0x3c0
0x2f3f	0x3c8
0x2f42	0x3db
0x2f33	0x392
0x2f36	0x39a
0x2f39	0x3ad
0x2f2a	0x357
0x2f2d	0x36c
0x2f30	0x37f
0x2f24	0x2f9
0x2f27	0x32c
0xbddB0x3bb	0x2187
0x1ab50xad4B0x3bb	0x2117
0x1aee0xad4B0x3bb	0x2117
0x1ab50x19f8B0xac3B0x3a8	0x2117
0x1aee0x19f8B0xac3B0x3a8	0x2117
0x1ab50x19f8B0x14caB0x59f	0x2117
0x1aee0x19f8B0x14caB0x59f	0x2117
