0x19df	mint(address,uint256)
0xf10S0x42f	owner(bytes32)
0x1409S0x589	logic()
0xf10S0x19f80xad4S0x3bb	owner(bytes32)
0xf10S0x19f8S0xac3S0x3a8	owner(bytes32)
0xf10S0x19f8S0x14caS0x59f	owner(bytes32)
