0xfe2	0x1be1	0xfeb
0x175f	0x2170	0x1771
0x1c59	0x2117	0x1c65
0x1cf8	0x2170	0x1d01
0x3d6	0xc63	0x3190x3c8
0xc63	0x2151	0xc96
0x47a	0xfd3	0x3190x46c
0x9a1	0xc63	0x9ac
0x9ac	0x2117	0x9d9
0x9d9	0x2170	0x9ef
0x9ef	0x2151	0x9fd
0xa07	0x1973	0xa20
0xa20	0x1973	0xa2a
0xc96	0xfd3	0xcb8
0xcb8	0x2117	0xcc2
0xcc2	0x2117	0xccc
0xccc	0x2170	0x2d2b
0xd46	0x2117	0x2d50
0xfeb	0x2117	0xff5
0xff5	0x2187	0x1001
0x182f	0x2117	0x18ab
0x194b	0x2117	0x2dbb
0x1bf7	0x1db6	0x1c40
0x1c40	0x2117	0x1c4f
0x1d01	0x2151	0x1d10
0xbddB0x3bb	0x2187	0xbe7B0x3bb
0x1ab50xad4B0x3bb	0x2117	0x1aee0xad4B0x3bb
0x1aee0xad4B0x3bb	0x2117	0x1b080xad4B0x3bb
0x1ab50x19f8B0xac3B0x3a8	0x2117	0x1aee0x19f8B0xac3B0x3a8
0x1aee0x19f8B0xac3B0x3a8	0x2117	0x1b080x19f8B0xac3B0x3a8
0x1ab50x19f8B0x14caB0x59f	0x2117	0x1aee0x19f8B0x14caB0x59f
0x1aee0x19f8B0x14caB0x59f	0x2117	0x1b080x19f8B0x14caB0x59f
