0x471e	0xe6
0x4721	0xeb
0x4724	0x116
0x4727	0x12d
0x472a	0x158
0x472d	0x181
0x4730	0x1ac
0x4733	0x1d7
0x4736	0x200
0x4739	0x217
0x473c	0x25a
0x473f	0x285
0x4742	0x2b0
0x4745	0x2db
0x4748	0x31e
0x474b	0x347
0x474e	0x38a
0x379bB0xb93	0x352a
0x37c4B0xb93	0x352a
0x37edB0xb93	0x352a
0x3816B0xb93	0x352a
0x383fB0xb93	0x352a
0x379bB0xf5e	0x352a
0x37c4B0xf5e	0x352a
0x37edB0xf5e	0x352a
0x3816B0xf5e	0x352a
0x383fB0xf5e	0x352a
0x8bcB0x139	0x2254
0x379bB0x893B0x139	0x352a
0x37c4B0x893B0x139	0x352a
0x37edB0x893B0x139	0x352a
0x3816B0x893B0x139	0x352a
0x383fB0x893B0x139	0x352a
0x14f2B0x239	0x2254
0x379bB0x149fB0x239	0x352a
0x37c4B0x149fB0x239	0x352a
0x37edB0x149fB0x239	0x352a
0x3816B0x149fB0x239	0x352a
0x383fB0x149fB0x239	0x352a
0x1e26B0x369	0x2254
0x379bB0x1ee5B0x369	0x352a
0x37c4B0x1ee5B0x369	0x352a
0x37edB0x1ee5B0x369	0x352a
0x3816B0x1ee5B0x369	0x352a
0x383fB0x1ee5B0x369	0x352a
0x1e26B0x1871B0x2fd	0x2254
0x379bB0x1ee5B0x1871B0x2fd	0x352a
0x37c4B0x1ee5B0x1871B0x2fd	0x352a
0x37edB0x1ee5B0x1871B0x2fd	0x352a
0x3816B0x1ee5B0x1871B0x2fd	0x352a
0x383fB0x1ee5B0x1871B0x2fd	0x352a
