0x9f2	exists(address)
0xb82	getByTypeNameVersion(string,string,string)
0xf4d	getByTypeNameVersion(string,string,string)
0x882S0x139	getById(bytes32)
0x148eS0x239	getByTypeNameVersion(string,string,string)
0x1ed4S0x369	getById(bytes32)
0x1ed4S0x1871S0x2fd	getById(bytes32)
