0xef	0xf7
0xf9	0x100
0x104	0x10d
0x11a	0x122
0x124	0x12b
0x127	0x42b
0x131	0x139
0x13b	0x142
0x146	0x14f
0x15c	0x164
0x166	0x17f
0x16e	0x17a
0x17b	0x974
0x185	0x18d
0x18f	0x196
0x19a	0x1a3
0x1b0	0x1b8
0x1ba	0x1c1
0x1c5	0x1ce
0x1db	0x1e3
0x1e5	0x1fe
0x1ed	0x1f9
0x1fa	0xe7d
0x204	0x20c
0x20e	0x215
0x211	0x109b
0x21b	0x223
0x225	0x23e
0x22d	0x239
0x242	0x251
0x25e	0x266
0x268	0x26f
0x273	0x27c
0x289	0x291
0x293	0x29a
0x29e	0x2a7
0x2b4	0x2bc
0x2be	0x2c5
0x2c9	0x2d2
0x2df	0x2e7
0x2e9	0x302
0x2f1	0x2fd
0x306	0x315
0x322	0x32a
0x32c	0x345
0x334	0x340
0x341	0x1890
0x34b	0x353
0x355	0x36e
0x35d	0x369
0x372	0x381
0x38e	0x396
0x398	0x3b1
0x3a0	0x3ac
0x42c	0x433
0x464	0x4a2
0x491	0x499
0x4a3	0x4aa
0x4ad	0x4eb
0x4da	0x4e2
0x4f2	0x4f9
0x592	0x5b0
0x5ac	0x58b
0x97a	0x981
0x9cc	0x9d5
0x9e7	0x9ef
0x9f6	0xa03
0xa1b	0xa27
0xa2a	0xa68
0xa57	0xa5f
0xa69	0xa70
0xa74	0xab2
0xaa1	0xaa9
0xac1	0xaff
0xaee	0xaf6
0xb00	0xb07
0xb57	0xb65
0xb77	0xb7f
0xb86	0xb93
0xbb0	0xbbc
0xbee	0xc2c
0xc1b	0xc23
0xc37	0xc75
0xc64	0xc6c
0xc76	0xc7f
0xc87	0xc8f
0xc96	0xca3
0xc9a	0xca2
0xca4	0xcad
0xca9	0x27cf
0xcae	0xcb7
0xcb3	0x2906
0xcb8	0xcc1
0xcbd	0x2a07
0xd0e	0xd1d
0xe81	0xe88
0xe8c	0xeca
0xeb9	0xec1
0xecb	0xed2
0xf22	0xf30
0xf42	0xf4a
0xf51	0xf5e
0xf7b	0xf87
0xfa8	0xfb1
0xfb4	0xfbc
0xfcd	0x100b
0xffa	0x1002
0x100c	0x1014
0x1010	0x2b14
0x1015	0x101d
0x1019	0x2c2e
0x101e	0x1026
0x1022	0x2d29
0x1027	0x102f
0x107b	0x1089
0x109c	0x10a3
0x10d4	0x1112
0x1101	0x1109
0x1113	0x111a
0x111e	0x115c
0x114b	0x1153
0x1163	0x116a
0x1203	0x1221
0x121d	0x11fc
0x1893	0x189a
0x193a	0x1958
0x1954	0x1933
0x19ad	0x19eb
0x19da	0x19e2
0x19ec	0x19f4
0x19f7	0x1a35
0x1a24	0x1a2c
0x1a36	0x1a3e
0x1a41	0x1a7f
0x1a6e	0x1a76
0x1b9e	0x1ba6
0x1c46	0x1c64
0x1c60	0x1c3f
0x22e9	0x2307
0x2303	0x22e2
0x2353	0x2369
0x2365	0x46d1
0x2370	0x237c
0x2378	0x46f6
0x2863	0x2881
0x287d	0x285c
0x299a	0x29b8
0x29b4	0x2993
0x2a0c	0x2a15
0x2a11	0x2a19
0x2aab	0x2ac9
0x2ac5	0x2aa4
0x2ba7	0x2bc5
0x2bc1	0x2ba0
0x2cc1	0x2cdf
0x2cdb	0x2cba
0x2dbb	0x2dd9
0x2dd5	0x2db4
0x3535	0x353d
0x3540	0x3550
0x3543	0x354b
0x3547	0x44f5
0x354c	0x44c8
0x3564	0x356c
0x356d	0x3577
0x44e3	0x44eb
0x4504	0x450c
0x46fc	0x471e
0x46fe	0x4721
0x4700	0x4724
0x4702	0x4727
0x4704	0x472a
0x4706	0x472d
0x4708	0x4730
0x470a	0x4733
0x470c	0x4736
0x470e	0x4739
0x4710	0x473c
0x4712	0x473f
0x4714	0x4742
0x4716	0x4745
0x4718	0x4748
0x471a	0x474b
0x471c	0x474e
0x42b9V0x468	0x42c1B0x468
0x42bdV0x468	0x3b84B0x468
0x4399V0x4b1	0x43a1B0x4b1
0x439dV0x4b1	0x3dc3B0x4b1
0x4339V0xa2e	0x4341B0xa2e
0x433dV0xa2e	0x3cd2B0xa2e
0x4439V0xa78	0x4441B0xa78
0x443dV0xa78	0x3f94B0xa78
0x42d9V0xac5	0x42e1B0xac5
0x42ddV0xac5	0x3be1B0xac5
0x4379V0xbf2	0x4381B0xbf2
0x437dV0xbf2	0x3d66B0xbf2
0x43b9V0xc3b	0x43c1B0xc3b
0x43bdV0xc3b	0x3dfaB0xc3b
0x4439V0xe90	0x4441B0xe90
0x443dV0xe90	0x3f94B0xe90
0x43f9V0xfd1	0x4401B0xfd1
0x43fdV0xfd1	0x3edaB0xfd1
0x42b9V0x10d8	0x42c1B0x10d8
0x42bdV0x10d8	0x3b84B0x10d8
0x4439V0x1122	0x4441B0x1122
0x443dV0x1122	0x3f94B0x1122
0x4319V0x19b1	0x4321B0x19b1
0x431dV0x19b1	0x3c9bB0x19b1
0x4459V0x19fb	0x4461B0x19fb
0x445dV0x19fb	0x3fcbB0x19fb
0x43d9V0x1a45	0x43e1B0x1a45
0x43ddV0x1a45	0x3e57B0x1a45
0x2550V0xc75	0x256eB0xc75
0x256aV0xc75	0x2549B0xc75
0x21ebV0xc7f	0x2209B0xc7f
0x2205V0xc7f	0x21e4B0xc7f
0x2550V0xf87	0x256eB0xf87
0x256aV0xf87	0x2549B0xf87
0x21ebV0xfb1	0x2209B0xfb1
0x2205V0xfb1	0x21e4B0xfb1
0x4657V0x356c	0x4661B0x356c
0x463cV0x356c	0x4652B0x356c
0x464eV0x356c	0x4637B0x356c
0x26a8V0xc9a	0x26b0B0xc9a
0x267bV0xc9a	0x26b9B0xc9a
0x260dV0xc9a	0x262bB0xc9a
0x26baV0xc9a	0x26c1B0xc9a
0x2791V0xc9a	0x27a4B0xc9a
0x2727V0xc9a	0x2745B0xc9a
0x27c3V0xc9a	0x27caB0xc9a
