0x6fa	0x77f
0x8bf	0x8bf
0x9d0	0x9d0
0xbc0	0xe08
0xe18	0xe18
0xf99	0xf99
0xfe7	0x1085
0x108a	0x10cd
0x10d4	0x10d4
0x119a	0x119a
0x1319	0x1319
0x13be	0x1561
0x18e3	0x18e3
0x1931	0x1931
0x1988	0x1988
0x19d6	0x1a17
0x1a9d	0x1b0b
0x1b4e	0x1b4e
0x1bea	0x1bea
0x1d77	0x1ff0
0x2239	0x254c
0x25f2	0x25f2
0x25fa	0x25fa
0x28b3	0x28dc
0x2975	0x297f
0x2989	0x2b9b
0x2ba3	0x2bf7
0x2c8e	0x2d0d
0x3172	0x328c
0x32e0	0x3341
0x6eb	0x3d32
0x880	0x3d56
0xa27	0x3d78
0x108a	0x3e19
0x11f1	0x3e3f
0x1300	0x3e66
0x1826	0x3ed9
0x19d6	0x3f4a
0x1b14	0x3f70
0x1c41	0x3f92
0x2651	0x4006
0x2651	0x4029
0x267d	0x404c
0x2829	0x4071
0x289d	0x4096
0x2c78	0x40b8
0x2f9b	0x40dd
0x2fa7	0x4100
0x3045	0x4125
0x3045	0x414a
0x3295	0x416f
0x3295	0x4194
0x3295	0x41b9
0x32e0	0x41df
0x3348	0x4202
0x3348	0x4229
0x3440	0x4250
0x3440	0x4275
0x7c3	0x83f0x7c3
0xe66	0x83f0xe66
0x2690	0x27630x2690
0x3172	0x27630x3172
0x276c	0x27e70x276c
0x2bfe	0x27e70x2bfe
