0xc3	0x1ea
0x115	0x339
0x800	0x6c
0x803	0x76
0x806	0x97
0x809	0xb7
0x80c	0xe8
0x80f	0x109
0x11e0x6c	0x364
0x11e0x1ea	0x364
0x11e0x339	0x364
0x15aB0x82	0x47f
0x11e0x138B0x82	0x364
0x11e0x227B0xf4	0x364
0x194B0x97	0x47f
0x11e0x172B0x97	0x364
