0x1a	0x144
0x25	0xb6
0x30	0x7a
0xbe	0x108
0x14c	0x1dd
0x157	0x1a1
0x1e5	0x224
0x25f	0x283
0x272	0x1499
0x287	0x6400x25c
0x292	0x29a
0x29c	0x2a30x28e
0x2bd	0x2c5
0x2c7	0x2a30x2b9
0x2ca	0x2d4
0x2dd	0x2e5
0x2ea	0x2f4
0x2f5	0x76c
0x30a	0x312
0x317	0x77d
0x32c	0x334
0x336	0x33d0x328
0x339	0x78b
0x34e	0x356
0x358	0x33d0x34a
0x35b	0x79a
0x363	0x36b
0x36d	0x31b0x35f
0x370	0x7ae
0x378	0x380
0x382	0x31b0x374
0x385	0x7b4
0x38d	0x395
0x39a	0x1561
0x3ad	0x3b5
0x3b7	0x33d0x3a9
0x3ba	0x7dd
0x3c2	0x3ca
0x3cc	0x3d3
0x3cf	0x7ec
0x3d7	0x1585
0x3e4	0x3ec
0x3ee	0x33d0x3e0
0x3f1	0x7f5
0x3f9	0x401
0x406	0x15ad
0x419	0x421
0x423	0x2a30x415
0x426	0x430
0x439	0x441
0x446	0x8db
0x450	0x458
0x45a	0x15f2
0x45d	0x467
0x468	0x8e6
0x470	0x478
0x47d	0x1613
0x48b	0x493
0x498	0x4a2
0x4a3	0xa00
0x4ab	0x4b3
0x4b5	0x33d0x4a7
0x4b8	0xa0c
0x4c0	0x4c8
0x4ca	0x31b0x4bc
0x4cd	0xa1b
0x4d5	0x4dd
0x4df	0x33d0x4d1
0x4e2	0xa29
0x4ea	0x4f2
0x4f4	0x506
0x4f7	0x501
0x502	0xa38
0x50a	0x1658
0x517	0x51f
0x524	0x1680
0x537	0x53f
0x544	0x16a4
0x552	0x55a
0x55c	0x31b0x54e
0x55f	0x569
0x56a	0xa5a
0x572	0x57a
0x57c	0x2a30x56e
0x587	0x58f
0x591	0x31b0x583
0x594	0xac4
0x59c	0x5a4
0x5a9	0x5b3
0x5b4	0xaca
0x5bc	0x5c4
0x5c9	0x16e9
0x5d7	0x5df
0x5e1	0x31b0x5d3
0x5e4	0xadb
0x5ec	0x5f4
0x5f6	0x31b0x5e8
0x5f9	0xae1
0x601	0x609
0x60b	0x31b0x5fd
0x60e	0xaed
0x616	0x61e
0x620	0x632
0x623	0x62d
0x62e	0xaf9
0x636	0x170d
0x6fb	0x1735
0x703	0x71a0x6c0
0x716	0x175c
0x754	0x1783
0x772	0x6400x2d9
0x783	0xb990x306
0x7b8	0x17ce
0x8df	0x6400x435
0x8fa	0x915
0x90d	0x1841
0x918	0x94f
0x945	0x94d
0x974	0x9b4
0x978	0x985
0x9de	0x9f2
0xa04	0x6400x487
0xaa5	0x188f
0xaad	0x71a0xa6c
0xac0	0x18b6
0xace	0x6400x598
0xae5	0x18dd
0x1562	0x7cb0x389
0x15ae	0x8040x3f5
0x1614	0x8040x46c
0x1681	0xa500x513
0x16a5	0x7cb0x533
0x16ea	0xa500x5b8
0x2024	0x207c
0x2026	0x20d3
0x2028	0x20d6
0x202a	0x20d9
0x202c	0x20dc
0x202e	0x20df
0x2030	0x20b2
0x2032	0x20b2
0x2034	0x2085
0x2036	0x2085
0x2038	0x20a3
0x203a	0x20d0
0x203c	0x20c1
0x203e	0x20c4
0x2040	0x20c7
0x2042	0x20b2
0x2044	0x20ca
0x2046	0x20cd
0x2048	0x20b8
0x204a	0x20bb
0x204c	0x20be
0x204e	0x20a3
0x2050	0x20b2
0x2052	0x20a6
0x2054	0x20a9
0x2056	0x20ac
0x2058	0x20af
0x205a	0x20b2
0x205c	0x20b5
0x205e	0x209d
0x2060	0x20a0
0x2062	0x2085
0x2064	0x20a3
0x2066	0x2085
0x2068	0x208e
0x206a	0x2091
0x206c	0x2094
0x206e	0x2097
0x2070	0x209a
0x2072	0x207f
0x2074	0x2082
0x2076	0x2085
0x2078	0x2088
0x207a	0x208b
0x3060xc40	0x14760x306
0x3f50xc40	0x14760x3f5
0x46c0xc40	0x14760x46c
0x5130xc40	0x14760x513
0x5b80xc40	0x14760x5b8
0x3060xc27	0xc300x306
0x3f50xc27	0xc300x3f5
0x46c0xc27	0xc300x46c
0x5130xc27	0xc300x513
0x5b80xc27	0xc300x5b8
0x3060xc06	0xc2b0x306
0x3f50xc06	0xc2b0x3f5
0x46c0xc06	0xc2b0x46c
0x5130xc06	0xc2b0x513
0x5b80xc06	0xc2b0x5b8
0x3060xbe7	0xbf00x306
0x3f50xbe7	0xbf00x3f5
0x46c0xbe7	0xbf00x46c
0x5130xbe7	0xbf00x513
0x5b80xbe7	0xbf00x5b8
0x3060xbb1	0xbbb0x306
0x3f50xbb1	0xbbb0x3f5
0x46c0xbb1	0xbbb0x46c
0x5130xbb1	0xbbb0x513
0x5b80xbb1	0xbbb0x5b8
0x5130xa56	0xb990x513
0x5b80xa56	0xb990x5b8
0x3f50x80a	0xb990x3f5
0x46c0x80a	0xb990x46c
0x3890x7d1	0x6400x389
0x5330x7d1	0x6400x533
0x6c00x738	0x7280x6c0
0xa6c0x738	0x7280xa6c
0x25c0x6b5	0x14530x25c
0x2d90x6b5	0x14530x2d9
0x3890x6b5	0x14530x389
0x4350x6b5	0x14530x435
0x4870x6b5	0x14530x487
0x5330x6b5	0x14530x533
0x5980x6b5	0x14530x598
0x25c0x69c	0x6a50x25c
0x2d90x69c	0x6a50x2d9
0x3890x69c	0x6a50x389
0x4350x69c	0x6a50x435
0x4870x69c	0x6a50x487
0x5330x69c	0x6a50x533
0x5980x69c	0x6a50x598
0x25c0x67b	0x6a00x25c
0x2d90x67b	0x6a00x2d9
0x3890x67b	0x6a00x389
0x4350x67b	0x6a00x435
0x4870x67b	0x6a00x487
0x5330x67b	0x6a00x533
0x5980x67b	0x6a00x598
0x25c0x659	0x6650x25c
0x2d90x659	0x6650x2d9
0x3890x659	0x6650x389
0x4350x659	0x6650x435
0x4870x659	0x6650x487
0x5330x659	0x6650x533
0x5980x659	0x6650x598
0x3280x341	0x15390x328
