0xa27	0xaad
0xaaf	0xb9e
0xbaa	0xbaa
0xbec	0xc95
0xcaa	0xcc6
0xccb	0xf4a
0xf86	0x102f
0x1044	0x11c2
0x11c7	0x12bc
0x12f2	0x12f2
0x12fa	0x12fa
0x13d3	0x14b9
0x14bc	0x1502
0x1782	0x1858
0x185b	0x1941
0x1944	0x1953
0x1959	0x1968
0x196e	0x197d
0x1983	0x1992
0x1998	0x19a7
0x19ad	0x19bc
0x19c2	0x19d1
0x19d7	0x19e6
0x19ec	0x1a0c
0x1a15	0x1a35
0x1a3e	0x1a70
0x1a7a	0x1a9a
0x1aa3	0x1ad5
0x1adf	0x1b36
0x1b42	0x1bac
0x1bb9	0x1bc2
0x1bc8	0x1bd1
0x1d21	0x1d2a
0x1d30	0x1d45
0x1d4b	0x1d7a
0x1d82	0x1da4
0x1dab	0x1dc0
0x1dc6	0x1ddb
0x1de1	0x1dfa
0x1e01	0x1e1a
0x1e21	0x1e3a
0x1e41	0x1e5a
0x1e61	0x1e7a
0x1e81	0x1e9a
0x1ea1	0x1eba
0x1ec1	0x1eda
0x1ee1	0x1efa
0x1f01	0x1f16
0x1f1c	0x1f4b
0x1f53	0x1f53
0x1fce	0x1ff4
0x1fff	0x204e
0x208d	0x2098
0x209f	0x20aa
0x20b1	0x20b1
0x20bd	0x20bd
0x20c7	0x20c7
0x20e7	0x20e7
0x2394	0x23a8
0x23ab	0x23bf
0x23c2	0x23d6
0x23d9	0x23ed
0x23f0	0x2404
0x2407	0x241b
