0x119	0x24d7806c
0x156	0x2c00ac30
0x17f	0x4b0bddd2
0x1a8	0x4f8d8e37
0x1d1	0x5bf8633a
0x1fc	0x6cc3c933
0x239	0x715018a6
0x250	0x7cb29d54
0x28d	0x8da5cb5b
0x2b8	0xa38aab41
0x2e3	0xa423a862
0x30e	0xb04e70ed
0x339	0xc4d66de8
0x362	0xcf7d8f09
0x38d	0xd106c9a3
0x3ca	0xdc44f9b3
0x3f5	0xe6fc9964
0x411	0xf2fde38b
0x43a	0xf6903411
0x2468	0x00000000
