0x11b	0xc340a24
0x13f	0x12290cfb
0x177	0x3616c98b
0x1a5	0x3828de82
0x2d3	0x485cc955
0x301	0x51ed6a30
0x309	0x81137180
0x311	0x81c0c263
0x319	0x86f43a41
0x336	0x8a6655d6
0x35f	0x995e4339
0x37c	0x9c3a49ba
0x4ae	0xb6aa515b
0x4d4	0xb9d02df4
0x526	0xbf363b18
0x552	0xc3210eb7
0x55a	0xc4d66de8
0x580	0xff981099
0x1910	0x00000000
